head,tail,sentence,time,head_code,tail_code,label,relation,src
协鑫能科,智慧能源,协鑫能科：公司拟以自有资金对全资子公司协鑫智慧能源（苏州）有限公司现金增资24亿元，本次增资完成后，协鑫智慧能源注册资本由36亿元变更为60亿元,2021-12-08 17:13:44,002015.SZ,600869.SH,1,上级,yuncaijing
分众传媒,爱尔眼科,成分股中，前期不佳的中国中免、分众传媒、爱尔眼科都涨超5%,2021-12-09 10:43:39,002027.SZ,300015.SZ,1,同涨,eastmoney
黔源电力,中闽能源,电力板块持续下挫，黔源电力跌超8%，中闽能源、晋控电力、金开新能跟跌,2021-12-20 10:06:00,002039.SZ,600163.SH,1,同跌,eastmoney
紫光国微,攀钢钒钛,与此同时，近五个交易日登陆沪深两市的龙虎榜个股中，营业部净买入较大的个股有中国移动、紫光国微、攀钢钒钛,2022-01-07 10:08:32,002049.SZ,000629.SZ,0,未知Unknown,eastmoney
云南旅游,桂林旅游,景点及旅游板块异动拉升，云南旅游涨停，长白山、桂林旅游、丽江股份跟涨,2021-12-21 09:38:00,002059.SZ,000978.SZ,1,同涨,yuncaijing
粤水电,建科院,云财经讯，粤水电：建工控股同意将建工集团持有的水电集团100%股权、水电集团持有的公司36.48%股份、建工集团及机施公司合计持有的73.62%建科院股份无偿划转至建工控股,2021-12-07 19:38:18,002060.SZ,300675.SZ,1,未知Unknown,10jqka
黑猫股份,联创股份,云财经讯，黑猫股份：拟与联创股份共同出资在内蒙古乌海市设立“内蒙古联和氟碳新材料有限公司”，注册资本拟定为5亿元，公司认缴出资额1亿元,2022-01-21 17:56:57,002068.SZ,300343.SZ,1,合作,10jqka
国轩高科,长城汽车,【国轩高科：与长城汽车零部件公司签订不低于10GWh采购协议】国轩高科公告，全资子公司合肥国轩与长城汽车零部件公司于近日签署了《2022年采购框架合作协议》,2021-11-22 19:38:31,002074.SZ,601633.SH,1,合作,yuncaijing
太阳纸业,晨鸣纸业,为保障供应链稳定，太阳纸业、晨鸣纸业等上市公司纷纷通过开辟多元化纸浆来源，积极扩大林地建设等方式应对,2022-01-21 06:59:29,002078.SZ,000488.SZ,1,同行,yuncaijing
太阳纸业,晨鸣纸业,为保障供应链稳定，太阳纸业、晨鸣纸业等上市公司纷纷通过开辟多元化纸浆来源，积极扩大林地建设等方式应对,2022-01-21 06:59:29,002078.SZ,000488.SZ,0,同行,10jqka
万丰奥威,比亚迪,云财经讯，12月21日电，万丰奥威在互动平台表示，公司和比亚迪合作主要为供应铝合金轮毂，目前配套比例40%以上，合作良好，子公司重庆万丰在2021年度比亚迪新能源汽车核心供应商大会上荣获年度最佳合作伙伴,2021-12-21 09:42:43,002085.SZ,002594.SZ,0,合作,yuncaijing
国脉科技,吉大通信,通信服务板块午后持续走高，中国移动、国脉科技此前涨停，吉大通信、广脉科技跟涨,2022-02-09 13:09:00,002093.SZ,300597.SZ,1,同涨,10jqka
天邦股份,金新农,但这两日，上市猪企股价却表现不错，2月9日猪产业指数上涨4.22%，天邦股份、巨星农牧、金新农涨停,2022-02-11 08:50:00,002124.SZ,002548.SZ,1,同涨,eastmoney
正邦科技,新希望,【养猪不易！2021年有5家把过去三年的盈利全亏完了…】1月29日晚间，正邦科技、新希望等猪企发布年度业绩预报，正邦科技净利预亏182亿元-197亿元，新希望预亏86亿元-96亿元，可见养猪巨头2021年亏损的惨烈程度,2022-01-31 08:58:17,002157.SZ,876,1,同行,10jqka
智光电气,文山电力,【一则消息催动储能板块大涨：广东储能、抽水蓄能辅助服务纳入电价】截至12月8日收盘，智光电气、文山电力等储能概念股收于涨停,2021-12-08 22:14:38,002169.SZ,600995.SH,1,同涨,eastmoney
御银股份,海联金汇,指数早盘震荡回升，沪指涨0.4%，猪肉、中药、元宇宙等多板块活跃，通信巨头中国移动盘中罕见涨停，数字货币板块领涨，御银股份、海联金汇等超10股涨停，燃气、油气开采、厨卫电器板块相对弱势，三市个股涨多跌少，炸板率中性，赚钱效应较强,2022-02-09 11:30:00,002177.SZ,002537.SZ,1,同涨,10jqka
证通电子,安妮股份,以封单金额计算，证通电子、安妮股份、汇通集团等涨停板封单资金较多，分别有4.95亿元、1.22亿元、1.02亿元,2022-01-25 15:24:21,002197.SZ,002235.SZ,1,同涨,eastmoney
证通电子,永兴材料,以封单金额计算，证通电子、永兴材料、汇通集团等涨停板封单资金较多，分别有2.68亿元、2.65亿元、2.25亿元,2022-01-24 15:29:21,002197.SZ,002756.SZ,1,同涨,eastmoney
金风科技,东方电气,港股风电板块走低，龙源电力、大唐新能源跌近4%，新天绿色能源跌近3%，金风科技跌近2%，华润电力、东方电气跟跌,2022-01-21 11:13:00,002202.SZ,600875.SH,1,同跌,10jqka
国统股份,安徽水利,【国统股份：中标安徽水利龙河口引水工程管件采购工程】国统股份(002205)11月30日晚间公告，公司收到安徽水利招标中心、安徽水利开发有限公司第一工程分公司发来的中标通知书，确定公司为安徽水利龙河口引水工程Ⅰ标段PCCP管及管配件采购工程的中标单位，中标金额约8904万元，占公司2020年度营业总收入的10.22%,2021-11-30 17:12:12,002205.SZ,600502.SH,1,供应,yuncaijing
海陆重工,中国石化,云财经讯，近日，由苏州海陆重工股份有限公司承制的中国石化海南炼油化工有限公司的280万吨/年重油催化裂化装置的2台补燃式CO余热锅炉模块开始陆续发运,2022-01-05 10:47:43,002255.SZ,600028.SH,1,供应,eastmoney
西仪股份,德赛电池,以封单金额计算，西仪股份、物产环能、德赛电池等涨停板封单资金较多，分别有17.92亿元、2.96亿元、2.31亿元,2021-12-17 15:26:55,002265.SZ,000049.SZ,1,同涨,eastmoney
西仪股份,中装建设,涨停股中，从收盘涨停板封单量来看，西仪股份最受追捧，收盘涨停板封单有8282.71万股；其次是太平洋、中装建设等，涨停板封单分别有4962.29万股、4908.49万股,2021-12-21 15:22:18,002265.SZ,002822.SZ,1,同涨,yuncaijing
西仪股份,宣亚国际,以封单金额计算，西仪股份、宣亚国际、中锐股份等涨停板封单资金较多，分别有3.52亿元、1.88亿元、1.65亿元,2021-12-14 15:37:26,002265.SZ,300612.SZ,1,同涨,10jqka
西仪股份,内蒙华电,涨停股中，从收盘涨停板封单量来看，西仪股份最受追捧，收盘涨停板封单有8297.02万股；其次是金山股份、内蒙华电等，涨停板封单分别有3044.14万股、3014.44万股,2021-12-17 15:28:57,002265.SZ,600863.SH,1,同涨,eastmoney
西仪股份,内蒙华电,涨停股中，从收盘涨停板封单量来看，西仪股份最受追捧，收盘涨停板封单有8297.02万股；其次是金山股份、内蒙华电等，涨停板封单分别有3044.14万股、3014.44万股,2021-12-17 15:28:57,002265.SZ,600863.SH,0,同涨,10jqka
卫士通,世纪华通,云财经讯，卫士通(002268)1月12日晚间披露与世纪华通战略合作进展公告，近日，卫士通与世纪华通孙公司盛趣公司签署《个人信息安全合规服务项目委托服务合同》，卫士通将为盛趣公司提供个人信息安全合规服务，保障盛趣公司能够建立并维持个人信息安全合规体系，服务期限为三年，合同总金额1.2亿元（含税）,2022-01-12 19:31:21,002268.SZ,002602.SZ,1,合作,eastmoney
亚太股份,长城汽车,云财经讯，亚太股份：收到长城汽车的新产品开发通知书，公司将作为长城汽车的零部件开发和生产供应商，开发和生产B07车型的前制动钳总成产品,2021-12-27 15:53:35,002284.SZ,601633.SH,1,供应,yuncaijing
中利集团,上海电力,云财经讯，中利集团：与上海电力签订《全面战略合作协议》，双方拟将光伏发电产业投资、能源科技创新作为重点，开展多层次、全方位的深度合作，规划在十四五期间争取完成不少于1GW光伏电站项目合作,2022-02-07 18:51:56,002309.SZ,600021.SH,1,合作,10jqka
中利集团,上海电力,【中利集团：与上海电力签订《全面战略合作协议》】中利集团公告，与上海电力签订《全面战略合作协议》，双方拟将光伏发电产业投资、能源科技创新作为重点，开展多层次、全方位的深度合作，规划在十四五期间争取完成不少于1GW光伏电站项目合作,2022-02-07 18:55:09,002309.SZ,600021.SH,0,合作,yuncaijing
日海智能,波导股份,杨涛表示，未来日海智能将在无线通讯模组项目上与波导股份开展更加深入和紧密的合作，实现优势互补、合作共赢,2022-01-06 11:12:21,002313.SZ,600130.SH,1,合作,yuncaijing
日海智能,波导股份,杨涛表示，未来日海智能将在无线通讯模组项目上与波导股份开展更加深入和紧密的合作，实现优...,2022-01-06 11:13:00,002313.SZ,600130.SH,0,合作,yuncaijing
章源钨业,厦门钨业,此外，章源钨业、江钨集团和厦门钨业不同产品价格也有小幅上调,2022-01-06 10:26:08,002378.SZ,600549.SH,1,同行,eastmoney
大北农,登海种业,建议关注种业板块，推荐具备生物育种研发优势的大北农、具备优质种质资源和品种资源的杂交玉米种业龙头登海种业,2022-02-23 08:35:35,2385,002041.SZ,1,同行,eastmoney
大北农,登海种业,建议关注种业板块，推荐具备生物育种研发优势的大北农、具备优质种质资源和品种资源的杂交玉米种业龙头登海种业,2022-02-23 08:35:35,2385,002041.SZ,0,同行,eastmoney
星网锐捷,建设银行,近期，星网锐捷全资子公司升腾资讯独家中标建设银行福建省分行收单用“码签牌及受理标识牌”制作服务项目,2022-02-11 15:36:00,002396.SZ,601939,1,供应,eastmoney
延安必康,特一药业,其中，较多机构调研的公司有延安必康、特一药业等,2021-12-29 10:57:12,002411.SZ,002728.SZ,1,同行,yuncaijing
海康威视,中国石化,云财经讯，日前，杭州海康威视数字技术股份有限公司与中国石化江汉油田分公司在江汉油田总部签署战略合作协议，正式达成战略合作伙伴关系,2022-01-06 11:48:32,002415.SZ,600028.SH,1,合作,eastmoney
海康威视,中国石化,【海康威视与江汉油田达成战略合作】日前，杭州海康威视数字技术股份有限公司与中国石化江汉油田分公司在江汉油田总部签署战略合作协议，正式达成战略合作伙伴关系,2022-01-06 11:50:34,002415.SZ,600028.SH,0,合作,eastmoney
海康威视,工商银行,因公司与海康威视天津分公司的买卖合同纠纷事宜，公司在中国工商银行北京苏州桥支行开立的银行基本账户被天津市南开区人民法院冻结，所涉合同纠纷金额约3717.68万元,2022-02-18 18:59:11,002415.SZ,601398.SH,1,纠纷,eastmoney
海康威视,工商银行,因公司与海康威视天津分公司的买卖合同纠纷事宜，公司在中国工商银行北京苏州桥支行开立的银行基本账户被天津市南开区人民法院冻结，所涉合同纠纷金额约3717.68万元,2022-02-18 18:59:11,002415.SZ,601398.SH,0,纠纷,yuncaijing
九安医疗,得利斯,以封单金额计算，九安医疗、汇通集团、得利斯等涨停板封单资金较多，分别有10.01亿元、6.32亿元、4.02亿元,2022-01-17 15:37:48,002432.SZ,002330.SZ,1,同涨,eastmoney
九安医疗,热景生物,云财经讯，新冠检测板块午后持续拉升，亚辉龙、九安医疗涨停，安旭生物、奥泰生物、热景生物跟涨,2022-01-11 13:03:29,002432.SZ,688068.SH,1,同涨,eastmoney
赣锋锂业,金风科技,港股碳中和概念股部分走跌，赣锋锂业(01772.HK)跌5.15%，保利协鑫能源(03800.HK)跌4.64%，大唐新能源(01798.HK)跌4.61%，金风科技(02208.HK)跌3.23%,2021-11-23 13:24:57,002460.SZ,002202.SZ,1,同跌,10jqka
赣锋锂业,比亚迪,港股特斯拉概念股走低，亿和控股跌超16%，赣锋锂业跌超8%，比亚迪股份跌超4%，雅迪控股、施耐特跌超3%，比亚迪电子跌超1%,2021-12-20 10:27:19,002460.SZ,002594.SZ,1,同跌,eastmoney
赣锋锂业,比亚迪,港股锂电池板块走高，赣锋锂业涨超4%，超威动力、比亚迪股份涨超3%,2021-12-22 10:04:16,002460.SZ,002594.SZ,1,同涨,10jqka
赣锋锂业,比亚迪,港股锂电池板块走低，赣锋锂业跌近5%，洪桥集团跌超4%，比亚迪电子、天能动力、超威动力跟跌,2022-01-04 11:24:00,002460.SZ,002594.SZ,1,同跌,eastmoney
赣锋锂业,比亚迪,港股锂电池板块走低，洪桥集团跌近13%，赣锋锂业跌超3%，比亚迪股份、天能动力跟跌,2022-01-07 13:13:10,002460.SZ,002594.SZ,0,同跌,yuncaijing
赣锋锂业,比亚迪,港股特斯拉概念股持续走高，赣锋锂业涨超7%，雅迪控股涨超6%，比亚迪电子涨近4%，比亚迪股份涨超3%,2022-02-17 11:24:00,002460.SZ,002594.SZ,1,同涨,eastmoney
赣锋锂业,比亚迪,港股锂电池板块走低，赣锋锂业跌超7%，比亚迪电子跌6%，比亚迪股份跌超5%，超威动力跌超4%,2022-02-24 14:10:00,002460.SZ,002594.SZ,1,同跌,yuncaijing
赣锋锂业,宁德时代,2021年7月份，赣锋锂业对加拿大千禧锂业发起了要约收购，不料遭到国内同行宁德时代的半路“截杀”,2021-12-27 01:50:03,002460.SZ,300750.SZ,1,竞争,yuncaijing
赣锋锂业,福耀玻璃,港股特斯拉概念股走低，耐世特跌近6%，敏实集团跌近4%，雅迪控股跌超3%，赣锋锂业跌超2%，福耀玻璃跌近2%,2021-11-18 10:27:00,002460.SZ,600660.SH,1,同跌,10jqka
赣锋锂业,福耀玻璃,港股特斯拉概念股走低，敏实集团(00425.HK)跌近4%，赣锋锂业(01772.HK)跌超3%，亿和控股(00838.HK)、福耀玻璃(03606.HK)跌超2%,2021-12-06 10:35:33,002460.SZ,600660.SH,1,同跌,eastmoney
赣锋锂业,福耀玻璃,港股特斯拉概念股走低，赣锋锂业、力劲科技跌近3%，耐世特、福耀玻璃、敏实集团跌超2%,2021-12-10 09:39:00,002460.SZ,600660.SH,1,同跌,eastmoney
赣锋锂业,福耀玻璃,港股特斯拉概念股走低，力劲科技跌超6%，耐世特跌4.5%，亿和控股跌3.33%，赣锋锂业跌3%，福耀玻璃跌2.5%，雅迪控股跌1.63%,2022-01-28 09:48:58,002460.SZ,600660.SH,1,同跌,yuncaijing
赣锋锂业,中国黄金,港股有色金属板块走低，五矿资源跌近6%，赣锋锂业跌超5%，金川国际跌超4%，中国黄金国际跌近3%,2021-12-06 14:01:57,002460.SZ,600916,1,同跌,eastmoney
赣锋锂业,中国铝业,云财经讯，恒指收涨0.3%，恒生科技指数涨0.82%，铝业股、稀土股等有色金属板块集体上涨，赣锋锂业涨超7%，中国铝业涨超5%,2022-02-17 16:11:45,002460.SZ,601600.SH,1,同涨,eastmoney
赣锋锂业,中国铝业,港股有色金属板块走低，俄铝跌近6%，赣锋锂业跌近4%，五矿资源、中国铝业、中国有色矿业跌近2%,2022-02-21 10:30:00,002460.SZ,601600.SH,1,同跌,eastmoney
赣锋锂业,洛阳钼业,港股有色金属板块走低，俄铝跌近7%，赣锋锂业跌近6%，中广核矿业跌近4%，洛阳钼业跌超3%,2022-02-24 11:47:00,002460.SZ,603993.SH,1,同跌,eastmoney
天齐锂业,西藏矿业,盐湖提锂板块拉升回暖，天齐锂业涨超4%，藏格矿业、盛新锂能、西藏矿业跟涨,2022-02-11 09:54:00,002466.SZ,000762.SZ,1,同涨,yuncaijing
天齐锂业,永兴材料,重点看好有资源有加工产能且未来有成长性的公司，龙头天齐锂业、赣峰锂业，弹性标的永兴材料、盛新锂能、科达制造等,2022-02-24 10:38:13,002466.SZ,002756.SZ,1,同行,10jqka
新筑股份,兆新股份,涨停股中，从收盘涨停板封单量来看，永安期货最受追捧，收盘涨停板封单有4182.97万股；其次是新筑股份、兆新股份等，涨停板封单分别有3701.6万股、1883.56万股,2021-12-28 15:28:18,002480.SZ,002256.SZ,1,同涨,10jqka
山西证券,乐视网,云财经讯，山西证券：控股子公司中德证券因乐视网证券虚假陈述纠纷被提起诉讼，涉案金额45.71亿元,2022-01-17 20:31:55,002500.SZ,300104.SZ,1,纠纷,yuncaijing
天桥起重,英搏尔,【天桥起重：拟出售英搏尔部分股票】天桥起重(002523)11月22日晚间公告，公司将通过大宗交易和集合竞价方式出售持有英搏尔(300681)部分股票，合计减持比例不超过其总股本的3%,2021-11-22 19:29:18,002523.SZ,300681.SZ,1,减持,10jqka
英飞拓,紫光国微,【英飞拓：与紫光国微达成战略合作】记者获悉，12月6日，深圳英飞拓智能技术有限公司(简称“英飞拓智能”)与紫光国芯微电子股份有限公司(简称“紫光国微”)在深圳签署战略合作协议,2021-12-07 14:39:29,002528.SZ,002049.SZ,1,合作,yuncaijing
比亚迪,赣锋锂业,港股锂电池板块走高，天能动力涨近4%，比亚迪股份涨近3%，赣锋锂业、超威动力涨超2%,2021-11-22 10:14:00,002594.SZ,002460.SZ,1,同涨,eastmoney
比亚迪,赣锋锂业,港股特斯拉概念股走低，力劲科技跌近5%，亿和控股、比亚迪电子跌超4%，比亚迪股份、敏实集团跌超3%，赣锋锂业跌近3%,2021-12-17 13:18:04,002594.SZ,002460.SZ,1,同跌,eastmoney
比亚迪,赣锋锂业,港股锂电池板块短线下挫，比亚迪电子(00285.HK)跌超5%，赣锋锂业(01772.HK)跌5%，比亚迪股份(01211.HK)跌1.2%,2022-01-06 10:18:53,002594.SZ,002460.SZ,1,同跌,10jqka
比亚迪,赣锋锂业,港股锂电池板块短线下挫，比亚迪电子(00285.HK)跌超5%，赣锋锂业(01772.HK)跌5%，比亚迪股份(01211.HK)跌1.2%,2022-01-06 10:18:53,002594.SZ,002460.SZ,0,同跌,10jqka
比亚迪,赣锋锂业,港股锂电池板块走低，比亚迪股份跌超8%，比亚迪电子跌超5%，赣锋锂业跌超4%，超威动力跌近3%，彩客化学跌超2%，洪桥集团跌近2%,2022-01-28 10:10:00,002594.SZ,002460.SZ,1,同跌,10jqka
比亚迪,赣锋锂业,港股锂电池板块走低，比亚迪电子跌超5%，赣锋锂业跌超3%，超威动力跌超2%,2022-02-07 14:51:49,002594.SZ,002460.SZ,1,同跌,10jqka
比亚迪,福耀玻璃,港股特斯拉概念股走低，比亚迪电子跌近5%，比亚迪股份、福耀玻璃、敏实集团、亿和控股跌近4%，耐世特跌超3%,2022-02-22 10:09:45,002594.SZ,600660.SH,1,同跌,eastmoney
比亚迪,广汽集团,港股汽车股走高，理想汽车涨超4%，小鹏汽车涨超2%，比亚迪股份、广汽集团跟涨,2022-01-14 15:30:39,002594.SZ,601238.SH,1,同涨,10jqka
比亚迪,广汽集团,据《中国经营报》记者不完全统计，华南区域包括比亚迪、东风日产、小鹏汽车、广汽集团旗下多个汽车品牌均已秀出1月可观的销量数据,2022-02-12 11:36:46,002594.SZ,601238.SH,1,同行,yuncaijing
比亚迪,长城汽车,港股汽车股走低，小鹏汽车跌超6%，理想汽车跌超4%，比亚迪股份、长城汽车、吉利汽车跟跌,2021-12-02 09:23:00,002594.SZ,601633.SH,1,同跌,10jqka
