,head,tail,relation,sentence,time,head_code,tail_code
47,丽珠集团,健康元,合作,【丽珠集团解析新冠疫苗研发重大进展：序贯加强免疫效果好】日前，健康元(600380)和旗下控股的上市公司丽珠集团(000513)双双发布公告称，公司控股附属公司珠海市丽珠单抗生物技术有限公司与中国科学院生物物理研究所合作研发的“重组新型冠状病毒融合蛋白疫苗”(简称“V-01”)已完成序贯加强Ⅲ期临床试验的中期主数据分析，并获得了关键性数据,2022-02-20 18:09:58,000513.SZ,600380.SH
48,三美股份,格力电器,同行,生态环境部核发三美股份等20家单位2022年度含氢氯氟烃生产配额，核发格力电器等43家单位2022年度含氢氯氟烃使用配额,2022-01-06 20:27:00,603379.SH,000651.SZ
49,陕西金叶,宣亚国际,未知Unknown,深交所：本周对近期涨幅异常的 “三羊马”“陕西金叶”“宣亚国际”进行重点监控；共对12起上市公司重大事项进行核查，并上报证监会1起涉嫌违法违规案件线索,2021-12-17 18:11:50,000812.SZ,300612.SZ
50,山东黄金,中国黄金,同涨,【黄金股走强 市场避险情绪增强黄金突破1900美元关口】招金矿业(1818.HK)涨4.88%，山东黄金涨3.15%，中国黄金国际黄金涨1.08%,2022-02-18 09:34:34,600547.SH,600916
51,东北证券,长远锂科,未知Unknown,东北证券：给予长远锂科买进的初始评级，目标价27.60元,2022-01-12 11:49:45,000686.SZ,688779
52,中联重科,路畅科技,未知Unknown,2月7日晚间，中联重科和路畅科技两家A股公司同时披露，路畅科技控股股东将变更为中联重科，路畅科技自2月8日起复牌,2022-02-08 02:16:00,000157.SZ,002813.SZ
53,卫士通,世纪华通,合作,云财经讯，卫士通(002268)1月12日晚间披露与世纪华通战略合作进展公告，近日，卫士通与世纪华通孙公司盛趣公司签署《个人信息安全合规服务项目委托服务合同》，卫士通将为盛趣公司提供个人信息安全合规服务，保障盛趣公司能够建立并维持个人信息安全合规体系，服务期限为三年，合同总金额1.2亿元（含税）,2022-01-12 19:31:21,002268.SZ,002602.SZ
54,海通证券,中银证券,未知Unknown,而海通证券&中银证券也在近期密集提到一个概念——DPU,2021-12-22 16:50:01,600837.SH,601696
55,禾望电气,电科院,合作,云财经讯，从禾望电气(603063)了解到，近日，在国网陕西电科院、洁源光伏、禾望电气、北京瑞盈智拓、唐鼎电力多方联合下，陕西定边洁源公布井光伏电站完成了涉网性能提升试验,2021-12-20 15:28:32,603063.SH,300215.SZ
56,云赛智联,徐家汇,未知Unknown,云财经讯，近日，云赛智联旗下企业上海仪电鑫森科技发展有限公司成功中标“徐家汇体育公园开办费智能化及装饰提升工程”项目,2022-01-25 17:38:58,600602.SH,002561.SZ
57,科蓝软件,新国都,同涨,成份股中，科蓝软件午后20cm涨停；旗天科技一度涨停随后炸板，与新国都分别收涨15.83%和11.86%,2021-12-14 19:39:05,300663.SZ,300130.SZ
58,中国电建,西部建设,合作,【中国电建：所属联合体中标兰州经开区皋兰生态修复与产业发展示范区（起步区）综合开发项目】近日，由中国电建所属地产公司携手水电三局、西部建设公司、贵阳院、中国市政西北院组成的联合体成功中标兰州经济技术开发区皋兰生态修复与产业发展示范区（起步区）综合开发项目,2022-02-11 19:17:42,601669.SH,002302.SZ
59,万年青,中粮工科,同涨,云财经讯，12月15日电，N华研拉升大涨98.7%触发临停，粤万年青、建研设计、观想科技、中粮工科此前涨停，喜悦智行、金钟股份、天亿马、洁雅股份等创业板近端新股今日持续走高,2021-12-15 13:54:58,000789.SZ,301058
60,浙能电力,浙江新能,未知Unknown,云财经讯，浙能电力(600023)2月10日晚间公告，公司与浙能普华、浙江新能组建专项基金参与国家电投集团威宁能源定向增发，专项基金规模4.63亿元，公司作为有限合伙人出资4.32亿元,2022-02-10 15:52:41,600023.SH,600032
61,当升科技,容百科技,同行,【多家锂电公司业绩翻番 正极材料龙头企业“春节不打烊”】在旺盛市场需求下，国内多家锂电正极材料上市公司业绩报喜，当升科技、容百科技等纷纷预计业绩翻倍,2022-01-28 05:00:31,300073.SZ,688005.SH
62,赣锋锂业,比亚迪,同跌,港股特斯拉概念股走低，亿和控股跌超16%，赣锋锂业跌超8%，比亚迪股份跌超4%，雅迪控股、施耐特跌超3%，比亚迪电子跌超1%,2021-12-20 10:27:19,002460.SZ,002594.SZ
63,卫士通,中电科,上级,云财经讯，卫士通：公开挂牌转让控股子公司中电科（天津）网络信息安全有限公司35%股权，首次挂牌价格不低于2800万元,2021-11-23 18:09:06,002268.SZ,600877.SH
64,中煤能源,山煤国际,同涨,指数早盘高开震荡，沪指涨0.28%，元宇宙、种植业、国防军工等多板块活跃，化工、煤炭、钢铁等周期股早盘拉升大涨，中煤能源、山煤国际等多股触及涨停，新冠检测、白酒概念走弱，景点及旅游、汽车整车板块较萎靡，三市个股涨多跌少，炸板率低，赚...,2021-12-16 11:30:00,601898.SH,600546.SH
65,华友钴业,中铝国际,同跌,盐湖提锂板块午后持续走弱，盛新锂能跌近6%，科达制造、华友钴业、中铝国际跟跌,2022-01-11 13:54:00,603799.SH,601068.SH
66,福建高速,兴业银行,增持,【福建高速：以大宗交易购买兴业银行4600万股股票】福建高速(600033)11月23日晚间公告，11月22日，公司通过大宗交易以17.39元/股价格购买兴业银行4600万股股票，成交金额共计7.99亿元,2021-11-23 16:03:09,600033.SH,601166.SH
67,安恒信息,中国联通,未知Unknown,安恒信息官微消息，近日，中国联通（2021年）集中采购项目-主机威胁感知平台项目中标候选人公示，安恒明御主机安全及管理系统成功中标,2022-02-09 09:34:00,688023.SH,600050.SH
68,中国长城,长城信息,上级,中国长城公告，分拆所属子公司长城信息股份有限公司至创业板上市申请获得深圳证券交易所受理,2021-12-30 20:06:00,000066.SZ,000748.SZ
69,科创信息,工商银行,合作,【科创信息：正积极与工商银行湖南分行等共同建设数字人民币试点】科创信息在互动平台表示，目前公司正积极与工商银行湖南分行等，共同建设数字人民币试点，探讨业务融合，加强深度合作,2022-02-09 15:37:25,300730.SZ,601398.SH
70,中国能建,葛洲坝,合作,【中国能建葛洲坝集团与河南新乡市签订战略合作框架协议】据中国葛洲坝微言消息，11月23日，中国能建葛洲坝集团与河南省新乡市签订战略合作框架协议,2021-11-23 20:43:31,601868,600068.SH
71,日海智能,波导股份,合作,云财经讯，日前，日海智能和波导股份达成了战略合作签约，日海智能集团CEO杨涛出席了本次签约仪式,2022-01-06 11:12:21,002313.SZ,600130.SH
72,天风证券,报喜鸟,未知Unknown,天风证券：给予报喜鸟买进的初始评级，目标价7.75元,2021-12-03 15:14:16,601162.SH,002154.SZ
73,雅本化学,山河药辅,未知Unknown,【雅本化学：公司与山河药辅无产品交易】雅本化学12月29日在投资者互动平台表示，公司与山河药辅无产品交易,2021-12-29 20:31:02,300261.SZ,300452.SZ
74,新希望,獐子岛,未知Unknown,【亚洲渔港冲刺创业板IPO 背靠美团新希望实力股东】曾计划接盘獐子岛资产未果的亚洲渔港，下周将迎来创业板IPO上会审议,2022-02-11 20:55:30,876,002069.SZ
75,卫士通,易华录,未知Unknown,云财经讯，12月30日，卫士通总经理仲恺，副总经理魏洪宽、周俊等一行到易华录调研交流,2021-12-31 17:25:40,002268.SZ,300212.SZ
76,中国船舶,中国石油,合作,记者获悉，12月7日，中国船舶集团有限公司旗下沪东中华造船（集团）有限公司、中国船舶工业贸易有限公司携手中国石油国际事业有限公司、上海中远海运液化天然气投资有限公司和中远海运石油运输有限公司通过“云签约”方式，正式签订3艘17.4 万立...,2021-12-07 11:22:00,600150.SH,601857
77,星网锐捷,建设银行,未知Unknown,【星网锐捷：中标建行福建省分行数字人民币项目】据星网锐捷官网消息，全资子公司升腾资讯独家中标中国建设银行股份有限公司福建省分行收单用“码签牌及受理标识牌” 制作服务项目,2022-02-11 13:30:10,002396.SZ,601939
78,豪美新材,伟星新材,同行,其中，豪美新材、伟星新材等17家上市公司2月以来获得3次以上机构调研,2022-02-21 07:39:04,2988,002372.SZ
79,宏润建设,杉杉股份,合作,  宏润建设：与杉杉股份签署战略合作框架协议，公司拟并购整合杉杉股份的光伏新能源资产及业务，双方拟通过杉杉股份向公司转让宁波尤利卡太阳能股份有限公司股份的方式完成光伏电池组件资产和业务的合作.,2022-01-13 16:28:00,002062.SZ,600884.SH
80,华林证券,财达证券,同涨,证券板块短线拉升，华林证券涨超4%，国联证券、财达证券、湘财股份跟涨,2022-02-18 13:07:00,002945.SZ,600906
81,宁德时代,长盈精密,未知Unknown,12月2日，在宁德时代总部举行的第三季度供应商质量评选中，深圳市长盈精密技术股份有限公司获得宁德时代各部门联合评选的“红榜”表扬，被授予2021年第三季度供应商质量优秀奖,2021-12-03 17:25:00,300750.SZ,300115.SZ
82,比亚迪,宁德时代,未知Unknown,【比亚迪、宁德时代的供应商要上市了！下周申购别错过】在下周的新股中，将于周三申购的奕东电子在我国精密电子零组件行业处于领先地位,2022-01-09 22:45:55,002594.SZ,300750.SZ
83,穗恒运A,皖能电力,同涨,电力板块异动拉升，穗恒运A、金山股份涨停，皖能电力、华电能源跟涨,2021-12-15 09:49:00,000531.SZ,000543.SZ
84,亚太股份,长城汽车,供应,【亚太股份：收到长城汽车新产品开发通知】亚太股份(002284)12月14日晚间公告，公司于近日收到长城汽车股份有限公司的新产品开发通知书，公司将作为长城汽车的零部件开发和生产供应商，开发和生产CHB025A车型的电子驻车控制单元产品和制动防抱死控制单元产品，以及EC01车型的电子驻车控制单元产品,2021-12-14 16:13:28,002284.SZ,601633.SH
85,广生堂,药明康德,合作,广生堂公告，2021 年12月24日，子公司与上海药明康德新药开发有限公司就用于新冠病毒感染治疗的一类新药研发项目口服小分子 3-CL（3C-like）蛋白酶抑制剂签署《合作开发合同书》,2021-12-24 11:50:00,300436.SZ,603259.SH
86,森特股份,北新建材,同涨,增持次数方面，近5日获重要股东增持两次以上的共有5家公司，分别是森特股份（增持6次）、*ST丰华（增持4次）、北新建材（增持3次）等,2022-01-10 09:56:10,603098.SH,000786.SZ
87,博通股份,昂立教育,同涨,教育板块拉升走强，开元教育涨超7%，博通股份、科德教育、昂立教育跟涨,2021-11-17 09:48:00,600455.SH,600661.SH
88,广百股份,中国人寿,未知Unknown,【广百股份定增结果出炉：中国人寿保险集团等参投】广百股份发布募集配套资金之非公开发行股票发行情况报告书，确定此次发行价格为8.10元/股，发行数量为8641.97万股，募集资金总额约7亿元,2022-02-15 19:56:03,002187.SZ,601628.SH
89,广和通,中国联通,未知Unknown,【广和通：以最大份额成功中标中国联通雁飞Cat1定制模组招标】记者获悉，2月23日，中国联通公布了联通数科物联网事业部Cat1模组公开招标结果，广和通Cat1模组成功以最大份额中标此次招标,2022-02-23 18:17:46,300638.SZ,600050.SH
90,奥瑞金,中体产业,合作,【奥瑞金：与中体产业签署战略合作协议】奥瑞金公告，与中体产业签署战略合作协议，共同开发运动类食品饮料产品,2022-01-26 18:36:38,002701.SZ,600158.SH
91,紫金矿业,山东黄金,同涨,【黄金股普涨 金价重回1800美元上方 高盛上调未来12个月金价预期至2150美元】黄金股普涨，紫金矿业涨逾4%领涨，山东黄金和招金矿业涨逾2%,2022-02-04 15:00:19,601899.SH,600547.SH
92,东方航空,南方航空,同行,云财经讯，据中国民航局消息，12月27日，民航局再发熔断指令，对中国国际航空公司CA912航班（斯德哥尔摩至西安）、东方航空公司MU588航班（纽约至上海）、南方航空公司CZ8140航班（伊斯兰堡至武汉）、厦门航空公司MF830航班（洛杉矶至厦门）实施熔断措施,2021-12-28 17:03:39,600115.SH,600029.SH
93,亨通光电,光电股份,未知Unknown,"云财经讯，近日，工信部发布了《关于2021年度智能制造试点示范工厂揭榜单位和优秀场景名单的公示》，江苏亨通光电股份有限公司入选公示名单，获工信部评定的""光纤智能制造示范工厂""，成为行业内首家获得此项评定的企业",2022-01-06 17:50:29,600487.SH,600184.SH
94,中国船舶,七一二,未知Unknown, 【湖北省委书记应勇来中国船舶集团七一二所黄冈产业园调研】记者获悉，近日，湖北省委书记应勇来到中国船舶集团七一二所黄冈产业园调研，详细了解产业发展情况,2021-12-09 09:54:23,600150.SH,603712.SH
95,精功科技,吉林化纤,合作,云财经讯，精功科技：公司与吉林化纤正式签署编号为GFTHX211228的《碳化线装置购销合同》，合同总金额为6.80亿元，公司将向吉林化纤提供4条碳纤维生产线,2021-12-28 17:37:52,002006.SZ,000420.SZ
96,路畅科技,中联重科,同涨,路畅科技一字涨停，中联重科A股高开2.07%，消息面上，路畅科技控股股东拟向中联重科转让29.99%股份，转让价款总额为7.8亿元，同时控股股东自愿放弃所持全部剩余股份的表决权；本次交易完成后，中联重科将成为公司单一拥有表决权份额最大的股东，...,2022-02-08 09:26:00,002813.SZ,000157.SZ
97,中国能建,葛洲坝,合作,2月9日，中国能建葛洲坝集团与中国中化先正达集团中国在武汉签署战略合作协议,2022-02-10 16:14:00,601868,600068.SH
98,华安证券,中金公司,未知Unknown,龙迅股份此次辅导机构从华安证券变更为中金公司，且在重新申请上市前进行了新一轮增资,2022-02-19 21:26:20,600909.SH,601995
99,渝开发,金地集团,同涨,物业管理板块走强，渝开发涨停，金地集团、保利发展、招商积余跟涨,2021-12-20 09:36:50,000514.SZ,600383.SH
100,海螺水泥,西部建设,增持,云财经讯，海螺水泥：拟以自有资金17.6亿元参与认购西部建设非公开发行的A股股份，认购数量为2.51亿股,2021-12-21 19:03:57,600585,002302.SZ
101,联得装备,京东方,未知Unknown,【联得装备：中标京东方AMOLED（柔性）生产线项目】联得装备公告，中标京东方重庆第六代AMOLED（柔性）生产线项目，中标设备为真空贴合设备Laminator(D-Lami)，中标价格1.3亿元,2022-02-09 15:42:55,300545.SZ,000725.SZ
102,祥源文化,太平洋证券,增持,【祥源文化：太平洋证券持有公司股份增至6.47%】祥源文化(600576)12月9日晚间公告，太平洋证券通过司法拍卖取得公司无限售流通股2766.12万股，持股比例从2%增至6.47%，成为公司持股5%以上股东,2021-12-09 20:07:19,600576.SH,601099.SH
103,建发股份,宏发股份,未知Unknown,【建发股份：子公司出售宏发股份1.71%股份 预计增加2021年归母净利4.99亿元】建发股份公告，2021年12月2日至12月16日，控股子公司联发集团累计出售宏发股份1273万股股票，占其当前总股本的1.7095%，累计成交金额8.97亿元,2021-12-17 16:07:59,600153.SH,600885.SH
104,嘉元科技,宁德时代,合作,嘉元科技：与宁德时代签订合资经营投资意向备忘录，拟共同设立合资公司首期注册资本5亿元，将规划建设年产10万吨高性能铜箔项目,2021-12-08 18:47:47,688388.SH,300750.SZ
105,中国铁建,中国电建,合作,该项目位于辽宁省庄河市石城岛东侧海域，平均水深30米，场址中心离岸距离约35公里，规划面积55.8平方公里，设计装机容量350兆瓦，由中国铁建港航局与中国电建华东院承建,2021-12-16 16:03:54,601186,601669.SH
106,天风证券,华东医药,未知Unknown,【券商开年密集调研162家上市公司超690次，天风证券连续九周强推高端白酒】 据Wind数据梳理发现，今年以来，券商就对162家沪深上市公司进行了调研，共调研693次，华东医药最受关注,2022-01-13 06:46:48,601162.SH,000963.SZ
107,中国电信,中国联通,未知Unknown,2021H1，中国电信产业数字化业务收入501亿元，同比增长16.8%；中国移动DICT收入334亿元，同比增长59.8%；中国联通产业互联网业务收入280亿元，同比增长23.6%,2022-02-10 08:06:10,601728,600050.SH
108,申万宏源,宏源证券,未知Unknown,根据批复，中国证监会同意申万宏源证券向专业投资者公开发行面值总额不超过500亿元公司债券的注册申请，批复自同意注册之日（2021年12月6日）起24个月内有效，申万宏源证券在注册有效期内可以分期发行公司债券,2021-12-15 18:25:56,000166.SZ,000562.SZ
109,中信证券,五粮液,未知Unknown,中信证券指出，12月18日五粮液召开年度经销商大会,2021-12-20 08:32:00,600030.SH,000858.SZ
110,光环新网,中国电信,合作,云财经讯，近日，北京光环新网科技股份有限公司与中国电信股份有限公司湖南分公司在长沙签署了《湖南电信光环新网合作机房共建合作协议》,2022-01-07 17:20:06,300383.SZ,601728
111,洛阳玻璃,福莱特,同涨,港股光伏太阳能板块拉升，洛阳玻璃(01108.HK)涨10%，福莱特玻璃(06865.HK)涨超5%，协合新能源(00182.HK)涨2.44%，新特能源(01799.HK)涨2%，信义玻璃(00868.HK)涨1.76%，信义光能(00968.HK)涨0.77%,2021-12-30 10:44:16,600876.SH,601865.SH
112,万孚生物,迈瑞医疗,合作,云财经讯，日前，万孚生物与迈瑞医疗签订技术合作伙伴战略合作协议,2021-11-27 11:10:56,300482.SZ,300760.SZ
