复星医药	昊海生科	港股医美概念股拉升，瑞丽医美涨12.66%，时代天使涨6.7%，复星医药涨3.11%，康哲药业涨1.39%，昊海生科涨0.73%
药明康德	君实生物	医药日报：①药明康德股东减持1498.92万股；②先瑞达抽吸导管获批上市；③君实生物抗PD-1单抗新适应症有望近期获批；④科济药业-B自研药被EMA授予优先药物资格
永太科技	宁德时代	【突发！万亿“宁王”又出手：狂买这家公司！8万股民嗨了】11月14日晚间，永太科技公告称，公司控股子公司永太高新的股东盈科恒通拟将其持有的永太高新25%股权以5亿元转让给宁德时代
易华录	卫士通	【易华录：与卫士通签署战略合作协议】易华录(300212)11月15日早间公告，公司与成都卫士通信息产业股份有限公司(简称“卫士通”)经友好协商，于近日签署了《战略合作协议》
潮宏基	东方时尚	【潮宏基：强化东方时尚珠宝品牌影响力，加快推出国潮产品】潮宏基(002345)在11月15日公告的投资者关系活动记录中披露，未来公司将强化并扩大在东方时尚珠宝品牌的影响力，围绕“时尚、轻奢、年轻”的产品定位
中国联通	中国电信	【准备就绪！5G消息试商用提速，这些公司已提前布局！】上周，中国联通在全国启动5G消息试商用，并开展“5G消息体验招募活动”；此外，中国电信人士告诉记者，中国电信原计划在上周的天翼展期间召开5G消息发布会，但因疫情因素延期
宸展光电	光电股份	【宸展光电：公司全体董监高承诺未来六个月内不减持公司股票】宸展光电(003019)11月15日晚间公告，公司全体董事、监事及高级管理人员承诺：自公司首次公开发行前已发行股份解除限售上市流通之日起6个月内（即2021年11月18日至2022年5月18日），不以任何方式减持其所直接及间接持有的宸展光电股份，包括承诺期间因送股、公积金转增股本等权益分派产生的新增股份
杭锅股份	智慧能源	【杭锅股份：拟设立子公司投建崇贤智慧储能电站项目】杭锅股份公告，控股子公司杭锅能投拟以自有资金出资500万元设立全资子公司杭州西子智慧能源
宁德时代	比亚迪	【*ST众泰：公司目前投资者为深商控股集团股份有限公司】有投资者在投资者互动平台提问：贵公司目前是在处于重整吗？有引入战略投资者吗？是宁德时代还是比亚迪？*ST众泰11月15日在投资者互动平台表示，公司目前投资者为深商控股集团股份有限公司
海汽集团	海南高速	【海汽集团：股东海南高速累计减持公司股份160万股】海汽集团(SH603069)11月15日晚间发布公告称，截至2021年11月15日，海南高速通过上海证券交易所集中竞价交易系统累计减持公司股份160万股，本次减持计划时间过半，减持计划尚未实施完毕
多氟多	比亚迪	【多氟多：比亚迪拟向公司采购不低于56050吨六氟磷酸锂产品】多氟多(002407)11月15日晚间公告，公司近日与深圳市比亚迪供应链管理有限公司签订了《战略合作协议》，比亚迪拟在合作协议有效期内向公司采购总数量不低于56050吨的六氟磷酸锂产品，有效期为2022年1月至2025年12月
永太科技	宁德时代	【5倍大牛股跳水跌停！刚获“宁王”5亿元加持】11月14日晚，永太科技发布公告称，公司控股子公司永太高新的股东盈科恒通拟将其持有的永太高新25%股权以5亿元转让给宁德时代
海天味业	涪陵榨菜	两市个股多数上涨，大消费逆势走强，食品饮料、白酒、医药板块涨幅靠前，海天味业涨超4%，涪陵榨菜涨停
宁德时代	比亚迪	有机硅、氟化工概念重挫，锂电池、新能源车、光伏等高景气度题材大跌，宁德时代、比亚迪跌超4%
大秦铁路	唐山港	10月份，中国铁路太原局集团有限公司日均装运煤炭22875车，超计划完成当月保供运输任务；11月份截至13日，累计装运煤炭2557万吨，日均装车达26362车，其中大秦铁路累计运送煤炭达1600余万吨，对口供应的秦皇岛港、唐山港、曹妃甸港存煤由10月底的1600余万吨恢复到1900万吨以上
永太科技	宁德时代	【永太科技：宁德时代拟5亿元受让永太高新25%股权】永太科技(002326)11月14日晚间公告，公司控股子公司永太高新的股东盈科恒通拟将其持有的永太高新25%股权以5亿元转让给宁德时代
中金公司	南京证券	【小心！1300亿冲击 24万股民焦心】有些时候，解禁对上市公司的冲击还是很大的，年内中金公司、南京证券等均因解禁栽过跟头
万里马	海通证券	【万里马：控股股东林大洲拟协议转让2.88%股份】万里马(300591)11月14日晚间公告，控股股东、实际控制人之一林大洲11月12日与林锦宏及海通证券签订了《股份转让协议》，拟通过协议转让方式向林锦宏转让其持有的950万股无限售流通股(占公司总股本的2.88%)，以偿还其在海通证券部分质押融资，降低股票质押风险
润建股份	农业银行	【润建股份：中标农业银行电气火灾智能监测采购项目】润建股份(002929)11月14日晚间公告，公司近日中标中国农业银行股份有限公司广西壮族自治区分行《全行电气火灾智能监测采购项目》
天邑股份	中国电信	【天邑股份：参加天翼智能生态博览会 与中国电信开展交流合作】记者获悉，11月12日，中国电信首届天翼供应链生态发展论坛暨论坛成立大会成功举办
中国电信	天邑股份	论坛上，中国电信公布了37家首批A级-产品供应商名单，天邑股份荣列其中
天邑股份	中国电信	天邑股份将与中国电信进一步加强合作，共同推动电信供应链生态的发展
中国石油	辽河油田	【东北最大储气库采气投产！大幅提升天然气保供能力】日前，中国石油辽河油田双台子储气库群双6储气库扩容上产工程正式采气投产
三只松鼠	苏宁易购	战报显示，双11期间，三只松鼠囊括天猫、京东、淘宝、京东超市、天猫超市、抖音、快手、唯品会、苏宁易购、淘宝直播、京东直播、当当、京东拼购、多点14个核心和新电商渠道休闲零食类目销量第一
比亚迪	京泉华	【7天5个涨停！这家公司概念“宇宙无敌”：特斯拉、光伏、小米、华为、比亚迪】11月4日以来的7个交易日，京泉华收获5个涨停板，股价涨幅超过56%
比亚迪	京泉华	值得注意的是，公司涉及当下多个热门概念，包括特斯拉、光伏、新能源、小米、华为、比亚迪……但戏剧性的是，有一位创投大佬，在去年内幕交易京泉华还亏了48万元
郑州银行	中国银行	【郑州银行：王丹、刘炳恒及苏小军担任非执行董事的任职资格获核准】11月12日晚间，郑州银行在港交所公告称，本行于近日收到中国银行保险监督管理委员会河南监管局《河南银保监局关于核准王丹郑州银行股份有限公司董事任职资格的批复》、《河南银保监会关于核准刘炳恒郑州银行股份有限公司董事任职资格的批复》及《河南银保监会关于核准苏小军郑州银行股份有限公司董事任职资格的批复》，分别核准王丹、刘炳恒及苏小军担任本行董事会非执行董事的任职资格
比亚迪	赣锋锂业	港股锂电池板块拉升，洪桥集团(08137.HK)涨超10%，比亚迪电子(00285.HK)涨5.4%，赣锋锂业(01772.HK)涨1%
妙可蓝多	伊利股份	乳制品行业重点看好妙可蓝多、蒙牛乳业、伊利股份、中国飞鹤、新乳业
北斗星通	长川科技	【国家大基金又减持！三家半导体公司最新上榜！大基金二期风格有变？】11月11日晚间，北斗星通(002151)、华润微(688396)、长川科技(300604)三公司同步宣布大基金计划未来几个月内减持，减持比例分别为占公司总股本比例的2%、1%、1%
中国中车	合盛硅业	【中国中车和《绝地求生》出品方被纳入MSCI新兴市场指数】明晟公司(MSCI)在半年度指数评估结果中表示，纳入MSCI新兴市场指数的市值前三大个股为合盛硅业，中国中车(CRRC)，以及《绝地求生》出品方、韩国游戏公司魁匠团
中国太保	中国银行	【中国太保：公司注册资本增至96.2亿元】中国太保11月12日晚间公告称，经中国银行保险监督管理委员会核准，公司已于近日按相关规定办理完成注册资本变更登记手续，并领取了新的营业执照，公司注册资本由90.62亿元变更为96.2亿元
浙江富润	上峰水泥	【浙江富润：公司累计减持上峰水泥1.48%股份】浙江富润公告，公司累计减持上峰水泥1.48%股份，减持均价为20.2元/股，本次减持金额约为2.43亿元
华鲁恒升	万华化学	最新持股市值超30亿元的有华鲁恒升、万华化学等，这些公司在2020年末社保基金的持仓中，也位居市值前列
芭田股份	德方纳米	【磷酸铁锂赛道火热 芭田股份、德方纳米加码投入】磷酸铁锂市场在不断吸引新玩家参与
力源信息	平治信息	截至11月10日晚间，已有多家元宇宙概念公司收到交易所发出的关注函或问询函，10日晚间，再有力源信息、平治信息等公司收到关注函
佳创视讯	中青宝	同时，佳创视讯、中青宝等公司回复了交易所有关元宇宙的问询函
恩捷股份	宁德时代	"【股民沸腾了！狂砸80亿 万亿“宁王""联手2300亿“隔膜茅”放大招！】11月10日晚间，一则公告，让两大牛股的股民们再次沸腾：恩捷股份要与宁德时代开展合作，拟斥资80亿元从事投资干法隔离膜及湿法隔离膜项目"
中国联通	中国电信	通信巨头也闻风而来，中国移动通信联合会元宇宙产业委员会同日举办揭牌仪式，该团队成员包括中国移动、中国联通、中国电信等
中国石油	中国石化	【满足约4000万户家庭！我国首个大型页岩气田再发力】11日，记者从中国石油化工集团有限公司新闻办获悉，近期中国石化江汉油田涪陵页岩气田开足马力保障天然气生产供应，8口新井接连投产，目前该气田日供天然气增至近2000万立方米，可满足约4000万户家庭用气需求
中兴通讯	中国电信	【中兴通讯与中国电信签署数字家庭战略合作协议】11月10日，在2021国际数字科技展暨天翼智能生态博览会期间，中兴通讯与中国电信签署数字家庭战略合作协议，双方将聚焦各自核心竞争力，围绕产业数字化战略落地，深化现有合作基础、拓展合作领域
广和通	中国电信	【广和通：与中国电信签约“5G模组合作” 发布全新NB-IoT模组】11月11日，2021国际数字科技展暨天翼智能生态博览会在广州广交会展馆拉开帷幕
广和通	中国电信	广和通在本次博览会同期举办的“终端发展合作论坛暨中国电信终端产业联盟第十二次会员大会”上，与中国电信签约“5G模组及5G行业终端合作”，共同携手助推5G终端发展
比亚迪	长城汽车	【比亚迪将商标“魏”转让给长城汽车】目前比亚迪主推的王朝系列车型始于 2012 年，包括秦、唐、宋、元、汉系列车型分别都为市场和市值增长立下汗马功劳，目前已拥有稳定的口碑，甚至因为供需失衡已经在用户群体中出现等待大半年才能提车的现象
比亚迪	长城汽车	根据最新的商标公告显示，比亚迪已在 9 月将商标“魏”转让给长城汽车
重药控股	茂业商业	【重药控股：股东茂业商业拟减持不超3%公司股份】重药控股(000950)11月11日晚间公告，股东茂业商业拟15个交易日后的3个月内，以集中竞价或大宗交易方式减持不超过3%公司股份
珠海港	秀强股份	【珠海港：拟约2.35亿元参与认购子公司秀强股份定增股份】珠海港(000507)11月11日晚间公告，公司拟参与认购子公司秀强股份2021年度向特定对象发行A股股票，认购金额预计约2.35亿元
紫光国微	中国电信	【紫光国微：联合中国电信推出的天翼云卡一体服务首次亮相】11月11日，天翼智能生态博览会在广州隆重开幕
中国电信	紫光国微	在会上，中国电信联合紫光国微推出的天翼云卡一体服务首次亮相，中国电信集团、天翼数字生活等多个主展台都重点呈现了该服务与相关产品
温氏股份	农业银行	【温氏股份：超短期融资券获准注册】温氏股份公告，公司超短期融资券获准注册，超短期融资券注册金额为50亿元，注册额度自本通知书落款之日起2年内有效，由中国国际金融股份有限公司和中国农业银行股份有限公司联席主承销
中文在线	力源信息	【元宇宙概念逆市上涨 中文在线、力源信息20%涨停】今日大盘走弱，元宇宙概念逆市上涨
中国神华	陕西煤业	推荐中国神华、陕西煤业、山西焦煤
长江电力	川投能源	【“电茅”罕见出手减持 长江电力拟出售川投能源4%股份】A股“电茅”长江电力(600900)一向以扫货同行著称，如今却开始调整持仓
川投能源	长江电力	11月9日晚间，川投能源披露，长江电力拟在未来6个月内通过集中竞价或大宗交易减持不超公司4%股份
恩捷股份	宁德时代	【恩捷股份：与宁德时代投设平台公司 总投资额为80亿元】恩捷股份(002812)11月10日晚间公告，与宁德时代开展合作，双方约定于中国境内共同投资设立一家有限责任公司作为平台公司，主要从事投资干法隔离膜及湿法隔离膜项目
京能电力	昊华能源	【京能电力：董事长耿养谋因非本公司事项收到处罚决定】京能电力11月10日晚间公告，根据处罚决定，北京证监局因非本公司事项对时任昊华能源董事长耿养谋，时任昊华能源董事总经理张伟做出如下处罚：1、对耿养谋予以警告，处以30万元罚款并采取3年证券市场禁入措施；2、对张伟予以警告，处以10万元罚款
北方华创	三安光电	市值居前的北方华创、三安光电等股继昨日大涨后，今日仍实现上涨
中国银行	招商蛇口	11月9日，中国银行间市场交易商协会举行房企代表座谈会，招商蛇口、保利发展、龙湖集团、碧桂园、美的置业等公司计划近期在银行间市场注册发行债务融资工具
瑞联新材	皖江物流	【瑞联新材：皖江物流等拟合计减持不超2.42%股份】11月10日，瑞联新材公告，根据自身资金需要，公司股东皖江物流、杨凌东方富海和东方富海一号拟以集中竞价及大宗交易的方式进行减持，预计减持股份合计不超过170万股，占公司总股本的2.42%
五洲新春	南钢股份	【五洲新春：股东南钢股份拟减持不超过1.63%】11月10日，五洲新春公告，股东南钢股份拟减持不超过1.63%
天成自控	上汽集团	【天成自控：碳纤维汽车座椅目前尚未进行批量化生产】天成自控(603085)11月10日晚间发布异动公告，近期，有媒体报道了公司联合上汽集团及科思创中国公司合作开发的碳纤维汽车座椅事宜
智光电气	广州发展	【智光电气：中标广州发展龙川龙母60MW林光互补项目EPC总承包项目】智光电气公告，控股孙公司广州华跃电力工程设计有限公司中标广州发展龙川龙母60MW林光互补项目EPC总承包项目，中标金额为1.2亿元
天味食品	安井食品	A股火锅概念股也纷纷走弱，天味食品、安井食品等多股跌幅居前，大消费板块持续低迷
君实生物	恒瑞医药	国家医保谈判正在进行，抗癌“神药”PD-1抑制剂在列，国产PD-1四大家午后齐升，君实生物H股涨超8%，A股涨超9%，信达生物涨超4%，百济神州涨近超5%，恒瑞医药逼近涨停
中国平安	中国人寿	港股内险股午后走低，众安在线(06060.HK)跌5.19%，中国财险(02328.HK)跌2.73%，中国平安(02318.HK)跌2.14%、中国人寿(02628.HK)跌2.05%
国民技术	华友钴业	【午间公告】国民技术：公司及控股孙公司内蒙古斯诺与浦项化学、华友钴业签增资协议，公司控股子公司深圳斯诺将所持内蒙古斯诺95%及5%股权分别转让给国民技术和华友钴业
国民技术	华友钴业	其后，协议约定，浦项化学以1.41亿元现金认购重组后的内蒙古斯诺新增注册资本，取得内蒙古斯诺15%的股权，国民技术和华友钴业放弃行使优先认购权，此次交易有利于合作推动内蒙古斯诺在新能源负极材料行业的发展
比亚迪	上汽集团	【“缺芯”下的新能源汽车：供给受阻但终端热度持续】各整车厂10月产销数据亦非全盘向好，比亚迪新能源汽车销量同比增长249.05%，上汽集团环比增速达19.86%，但广汽埃安、吉利汽车以及蔚来均出现了不同程度的环比销量下滑
清源股份	建发股份	【清源股份：与建发股份成立合资公司 从事光伏电站投资及运营业务】清源股份消息，公司与厦门建发股份有限公司（600153.SH）在厦门建发国际大厦举行合作签约仪式，双方拟投资成立一家合资公司
建发股份	清源股份	根据合资协议，建发股份将持有合资公司80%股权，清源股份持有20%股权
复星医药	康希诺	港股抗疫概念股走高，开拓药业涨超10%，京东健康涨超5%，阿里健康涨4.13%，复星医药涨2.53%，康希诺生物涨1.63%
大唐发电	金风科技	港股风电股拉升，大唐发电(00991.HK)涨超5%，金风科技(02208.HK)涨4.6%，龙源电力(00916.HK)涨3.5%
金雷股份	澜起科技	金雷股份获目标价96元，亿田智能获目标价88元，澜起科技获目标价86.53元
南天信息	农业银行	【南天信息：中标农业银行鲲鹏PC服务器项目 中标金额14.87亿元】南天信息(000948)11月9日晚间公告，中标中国农业银行股份有限公司2021年鲲鹏PC服务器入围项目，中标金额14.8666亿元
川投能源	长江电力	【川投能源：股东长江电力拟减持不超4%公司股份】川投能源(600674)11月9日公告，股东长江电力拟在未来6个月内通过集中竞价或大宗交易减持不超公司4%股份
广发证券	长江证券	其中下半年以来，共有9家券商披露了最新的今年以来的新增借款规模，广发证券、长江证券前10个月累计新增借款分别超上年末净资产的20%和40%
华鑫股份	飞乐音响	【华鑫股份：飞乐音响计划转让公司6%股份】华鑫股份公告，截至公开征集截止时间，飞乐音响收到上海国盛集团资产有限公司一家意向受让方提交的申请材料，将尽快组建评审工作小组对意向受让方进行评审；飞乐音响计划转让公司6%股份
招商蛇口	中国银行	【交易商协会：招商蛇口等多家房企近期计划在银行间市场注册发行债务融资工具】第一财经记者独家获悉，11月9日，中国银行间市场交易商协会举行房地产企业代表座谈会
康希诺	复星医药	港股生物医药板块集体下挫，腾盛博药跌超24%，康希诺生物跌超20%，再鼎医药、开拓药业跌近15%，复星医药跌近10%
兴发集团	华友钴业	【19万股东笑了！千亿龙头携手4倍大牛股放大招！万亿赛道再加火】11月7日晚间，兴发集团和华友钴业双双宣布，将围绕新能源锂电材料全产业链进行合作，按照一次规划、分步实施的原则，在湖北宜昌合作投资磷矿采选、磷化工、湿法磷酸、磷酸铁及磷酸铁锂材料的一体化产业，建设50万吨/年磷酸铁、50万吨/年磷酸铁锂及相关配套项目
紫金矿业	天风证券	变更完成后，紫金矿业及其全资子公司紫风投资合计持有天风期货46.1479%股权，原控股股东天风证券持有37.7384%股权，其他股东合计持有16.1137%股权
彤程新材	华微电子	【彤程新材：控股公司北京科华与杜邦宣布战略合作】11月6日，在第四届进博会现场，杜邦电子与工业事业部与彤程新材料集团股份有限公司(603650)旗下北京科华微电子材料有限公司宣布开展一项合作计划，为中国集成电路芯片制造商提供高性能光刻材料
杭州银行	阳光城	【杭州银行：公司当前未发现存在涉及阳光城集团的授信和贷款业务】近日，有投资者在投资者互动平台上向杭州银行董秘询问该行是否涉及阳光城授信和贷款
杭州银行	阳光城	11月8日，杭州银行（600926）在投资者互动平台上表示，公司当前未发现存在涉及阳光城集团的授信和贷款业务
珈伟新能	天风证券	【珈伟新能：股东振发能源拟被动减持不超1.21%公司股份】珈伟新能(300317)11月8日晚间公告，持股23.38%的股东振发能源与天风证券的股票质押融资业务相关债务逾期，存在被动减持的风险
圣湘生物	科华生物	【圣湘生物：拟与科华生物合计出资5000万元设立合资公司】圣湘生物(688289)11月8日晚间公告，公司拟与科华生物合计出资5000万元投资设立合资公司“湖南圣科生物技术有限公司(Sansure Immunotech)”
科华生物	圣湘生物	股权比例为：科华生物占比50%，圣湘生物占比50%
安徽建工	安徽水利	【安徽建工：三家控股子公司合计中标28.63亿元工程项目】安徽建工(600502)11月8日晚间公告，近日，三家控股子公司中标项目：安徽三建工程有限公司中标萧县凤城医院建设项目，中标价7.31亿元；安徽省公路桥梁工程有限公司联合体中标合肥新桥机场S1线合肥西站枢纽先行段工程土建施工总承包项目，中标价14.11亿元；安徽水利开发有限公司中标龙河口引水工程施工1标段，中标金额7.21亿元
华友钴业	兴发集团	【华友钴业：布局磷酸铁锂业务相关收购和合作事项后续尚存不确定性】华友钴业发布股价异动公告，近期，公司布局磷酸铁锂业务，分别与控股股东和兴发集团签订了《股权收购意向书》和《合作框架协议》，相关收购和合作事项仅表达交易双方的初步意愿，后续是否签订合同、签订时间及合同内容尚存在不确定性
双良节能	晶盛机电	【双良节能：向晶盛机电采购单晶炉设备总金额变更为22.43亿元】双良节能公告，与晶盛机电签订的《单晶炉买卖合同》合同总金额由14.05亿元变更为22.43亿元
东方园林	京东方	【东方园林：与安永资产评估公司签署战略合作协议】近日，北京东方园林环境股份有限公司与安永资产评估(上海)有限公司在上海国家会展中心举行战略合作协议签约仪式
中国国航	南方航空	中国国航涨7.85%，中国南方航空涨6.7%
三峡能源	宁德时代	【三峡能源与宁德时代、山东电工电气座谈】11月4日，三峡能源总经理、党委副书记赵国庆，与宁德时代储能事业部执行总裁苏晴、山东电工电气集团副总经理、党委委员陈刚一行在京举行座谈，三方就储能业务合作进行深入交流
三峡能源	宁德时代	三峡能源党委委员、副总经理刘姿，宁德时代储能事业部副总裁欧阳成新等参加座谈
宁德时代	三峡能源	苏晴表示，储能产业发展潜力巨大，宁德时代将携手山东电工电气与三峡能源共同探索储能业务发展，发挥各自优势，共同获取优质资源，构建新型储能系统，助力我国能源结构转型
宁德时代	长安汽车	【华为、宁德时代、长安汽车合作品牌阿维塔将于11月15日发布】长安汽车、华为、宁德时代此前曾宣布推出全新新能源品牌“阿维塔”
中国黄金	紫金矿业	港股黄金及贵金属板块涨幅居前，招金矿业(01818.HK)涨近7%，中国白银集团(00815.HK)涨5.36%，中国黄金国际(02099.HK)涨5.06%，紫金矿业(02899.HK)涨3.73%
翰宇药业	九州通	【翰宇药业：携手九州通医药加速妇科领域产品商业化落地】11月8日，翰宇药业与九州通医药集团签署战略合作协议，共同推进翰宇药业妇科领域产品在国内的商业化落地
紫金矿业	蓝思科技	【瞄准新兴产业 多家上市公司谋求跨界转型】近期，多家上市公司宣布跨界转型，并纷纷瞄准了方兴未艾的新兴产业，包括紫金矿业宣布耗资近50亿元海外收购锂矿、蓝思科技宣布10亿元设立子公司进军光伏玻璃等
温氏股份	牧原股份	【私募热议生猪养殖板块投资机会】近日，温氏股份、牧原股份等个股快速上涨，使得此前陷入调整的生猪养殖板块重新进入投资者的视野
宁德时代	隆基股份	本周北向资金对774只股票的持股数增加，对764只股票进行了减仓，其中对宁德时代加仓金额最大，对隆基股份减仓金额最大
恒顺醋业	加加食品	随后，恒顺醋业、加加食品等调味品企业都跟随提价
华友钴业	兴发集团	【华友钴业：投建50万吨/年磷酸铁、50万吨/年磷酸铁锂及相关配套项目】华友钴业公告，与兴发集团签署合作框架协议，在湖北宜昌合作投资磷矿采选、磷化工、湿法磷酸、磷酸铁及磷酸铁锂材料的一体化产业，建设50万吨/年磷酸铁、50万吨/年磷酸铁锂及相关配套项目
风华高科	交通银行	【风华高科与交通银行战略合作 创新供应链金融合作模式】记者获悉，11月3日，风华高科与交通银行签署供应链金融合作协议
交通银行	风华高科	同时，交通银行肇庆分行副行长赵敏分别与现场10家经销商代表签订风华高科产业链项目合作意向协议，标志着风华高科与交通银行、经销商的合作迈上新台阶
长安汽车	宁德时代	【长安汽车子公司增资扩股“阵容”敲定 宁德时代持股占比23.99%】11月5日晚间，长安汽车发布公告，其控股子公司阿维塔科技(重庆)有限公司(以下简称“阿维塔科技”)拟引入投资方进行增资，宁德时代、福建闽东、重庆承安、两江西证、南方资产、南方工业基金作为本次增资扩股的投资主体参与增资，长安汽车以非公开协议的方式参与增资
长安汽车	宁德时代	从持股结构看，长安汽车持股比例将由95.38%稀释到39.02%，宁德时代持股23.99%，福建闽东持股5.00%，重庆承安持股19.01%，两江西证持股1.87%，南方资产持股8.73%，南方工业基金持股1.25%
中金公司	中泰证券	中金公司、江海证券、中泰证券等券商较为活跃，同时现身多家公司的流通股东榜单
宁德时代	汇川技术	从本周北向资金前十大增持市值来看，宁德时代获得增持市值最高，达27.45亿元，中国中免和汇川技术紧随其后，分别被北向资金增持18.25亿和11.61亿元
中信海直	正帆科技	当天，禧禧艾商贸、零跑国际商贸、正邦集团、上海金仪盛世、上海维申医药、中信海直通用航空、正帆科技、芯瑞微等一批高能级总部项目、产业项目签约，行业领域覆盖先进农业、智能制造、航空、生物医药、半导体等
青岛港	日照港	根据备忘录，淡水河谷将继续与山东省港口集团旗下的青岛港、日照港和烟台港就铁矿石卸载、混配、存储、装载和转运等业务开展合作，淡水河谷与山东省港口集团还将共同寻求在新项目方面的潜在合作机遇
红塔证券	游族网络	【2.67亿！红塔证券向林奇子女“追债” 发生了什么？游族网络股权转让尚未有进展】A股市场正在上演“父债子还”的一幕
游族网络	红塔证券	由于截至起诉日，原游族网络控股股东、实际控制人林奇的三名未成年子女未履行股票质押购回义务，三名子女被红塔证券告上法庭
通威股份	京运通	【证券时报头版评论：“双碳”目标下光伏龙头须更关注供应链管控】通威股份4日公告，旗下永祥股份与京运通、晶科能源共同向硅料项目公司增资
国元证券	东吴证券	除了江海证券之外，开源证券、安信证券、国元证券、上海证券、联储证券、东吴证券等中小券商也纷纷参与其中
欧派家居	东鹏控股	“十一”前后包括欧派家居、东鹏控股等在内的多家家居龙头企业宣布调价，涉及全屋定制、瓷砖、防水涂料、照明等多个领域，家居行业掀起新的一轮涨价潮
欧派家居	东鹏控股	【家居行业掀涨价潮 家居企业集体上调产品价格】今年以来，家居行业上游原材料价格一路上涨，受此影响，包括欧派家居、东鹏控股等在内的多家家居龙头企业宣布调价，涉及全屋定制、瓷砖、防水涂料、照明等多个领域，家居行业掀起新的一轮涨价潮
南方轴承	泛亚微透	【南方轴承：拟择机减持泛亚微透12.86%股份】南方轴承(002553)11月5日晚间公告，董事会授权公司管理层以集中竞价交易、大宗交易或其他合法方式择机减持公司所持有的泛亚微透(688386)900万股股份，占其当前总股本的12.86%
金风科技	三峡能源	【金风科技：三峡能源近期减持公司1.23%股份】金风科技(002202)11月5日晚间公告，三峡能源于10月27日至2021年10月28日期间通过大宗交易方式减持公司0.92%股份；于11月4日通过大宗交易方式减持公司0.31%股份
东方雨虹	瑞和股份	【东方雨虹：与瑞和股份共同推动“BAPV”和“BIPV”光伏发电项目】东方雨虹公告，与瑞和股份签订战略合作协议，双方旨在光伏屋面一体化领域达成全方位的深度合作，在全国范围内共同推动“BAPV”和“BIPV”光伏发电项目，同时，在双方所辖业务渠道途径包含的各类建筑的修缮类、加固类、翻新类修缮项目，专项设备勘察技术咨询服务事项及由此衍生的修缮材料供应及施工项目开展合作
东方盛虹	连云港	【东方盛虹：26.5亿元受让基金份额 增加在盛虹炼化的权益比例】东方盛虹(000301)11月5日晚间公告，公司将合计出资26.52亿元受让连云港盛虹炼化产业基金合伙企业（有限合伙）89.996%财产份额
长安汽车	宁德时代	【长安汽车：子公司引入宁德时代等参与本次增资扩股】长安汽车(000625)11月5日晚间公告，控股子公司阿维塔科技(重庆)有限公司(以下简称“阿维塔科技公司”)拟引入投资方进行增资
宁德时代	长安汽车	现引入宁德时代、福建闽东、重庆承安、两江西证、南方资产、南方工业基金作为本次增资扩股的投资主体参与增资，长安汽车以非公开协议的方式参与增资
加加食品	高澜股份	【午间公告：加加食品上调部分产品价格 上调幅度3%-7%不等】高澜股份：股东吴文伟计划减持公司不超2.17%股份
