head,tail,sentence
荣安地产,华夏幸福,【房地产板块开盘走低】房地产板块开盘走低，荣安地产跌近5%，华侨城、万科、华夏幸福、深深房等跌幅居前
日照港,青岛港,日照港55平，青岛港106平，两港总库存161较上周同期增8
国新能源,中金公司,【中金：美国新能源战略确立，全球电动化共振向上】中金公司研报指出，当地时间8月5日，美国总统拜登签署行政命令：设定2030年电动车占新车销量比例达到50%的目标
能辉科技,壹石通,【早知道：电解液需求持续拉动，碳酸二甲酯价格连续大涨】今日可申购新股能辉科技和壹石通
赣锋锂业,比亚迪,电解液需求持续拉动，碳酸二甲酯价格连续大涨；5G消息联合实验室成立，华为及三大运营商参与；今年中国将努力向全球提供20亿剂疫苗；赣锋锂业拟84亿投建新型锂电池项目；比亚迪7月新能源汽车销量同比增逾2倍；中芯国际二季度业绩超预期，行业景气提升；美股三大指数集体收涨，纳指、标普500指数创收盘新高
能辉科技,壹石通,【新股提示：能辉科技、壹石通今日申购】今日可申购能辉科技和壹石通，能辉科技网上发行约为1065万股，发行市盈率14.61倍，申购代码为：301046，申购价格：8.34元，单一账户申购上限1.05万股，申购数量500股整数倍
仙坛股份,昂立教育,据上海证券报资讯统计，7月共有16家公司披露增持计划，其中仙坛股份发布增持计划后7天完成；在教育类公司中，学大教育、昂立教育相继发布了股东增持计划
宝通科技,中顺洁柔,此外，宝通科技实控人包志方倡议员工增持公司股份并兜底，成为继中顺洁柔之后今年第2家发布兜底式增持倡议的公司
上海银行,中国银行,【上海银行获批筹建理财子公司】上海银行日前发布公告称，近日收到中国银行保险监督管理委员会批复，获准筹建上银理财有限责任公司
长春高新,安科生物,8月5日，受新华社发文点名“增高针”滥用，且存一定健康风险影响，长春高新、安科生物生长激素相关概念股双双大跌
长春高新,安科生物,受该消息影响，8月5日，生长激素龙头企业长春高新毫无悬念直接跌停，另一家主营生长激素的创业板上市公司安科生物也大跌10.52%
越秀金控,中信证券,【越秀金控重磅出手，23亿增持中信证券，意欲何为？券商股可以买了？】一季度，越秀金控已经增持了1.07亿股中信证券的H股股份，目前累计持有中信证券总股本的7.09%，是中信证券第二大股东
南京聚隆,比亚迪,【南京聚隆：已获得比亚迪等新能源汽车厂商的供应商认证并供货】南京聚隆(300644)在互动平台表示，近年来，随着国家政策引导扶持，新能源汽车发展迅速，公司积极布局和发展壮大新能源汽车材料业务，已获得比亚迪、吉利、蔚来、理想、小鹏、恒大等新能源汽车厂商的供应商认证并供货
宁德时代,贵州茅台,整体看，宁德时代股价在经历春节的调整后反弹，年初至今累计涨幅已超贵州茅台70.55%
合纵科技,比亚迪,【合纵科技：公司产品在比亚迪认证已通过，近期将会进入批量供货阶段】合纵科技在投资者互动平台表示，公司产品在比亚迪认证已经通过，近期将会进入批量供货阶段
福莱特,福耀玻璃,福莱特玻璃(06865.HK)、福耀玻璃(03606.HK)跌超2%，中国玻璃(03300.HK)跌超7%，此前工信部召开平板玻璃价格座谈会，研究稳定玻璃价格等政策建议
国药股份,国药一致,【国药股份：主要业务为医药批发，不涉及疫苗、药物研发和生产】国药股份今日早间发布说明公告：近日，有媒体报道《国药集团发现对抗德尔塔新药物国药股份、国药一致尾盘拉升》称，“8月4日，国药集团中国生物官微发文称，近期，国药集团中国生物杨晓明研究员团队最新发现针对德尔塔变异株有效的单克隆抗体，中和活性IC50高达5ng/ml
药明康德,芯原股份,【芯片界“药明康德”20cm涨停！盈利在望，诺安加仓】8月3日晚披露半年报后，8月4日，中国大陆排名第一的半导体IP供应商——芯原股份强势“20cm”涨停，有机构席位买了2543万元
庞大集团,我爱我家,增持股数最多的个股有：庞大集团上半年净利润增长1169.08%，增持10974.82万股；我爱我家净利润增长790.78%，股东增持3157.51万股
宁德时代,亿纬锂能,【10万股民嗨了！2000亿锂电大白马放大招，股价意念涨停！网友：下一个宁德时代！】8月4日晚间，亿纬锂能公告表示，拟于荆门投建年产30GWh动力储能电池项目以扩大产能
包钢股份,北方稀土,【全球最大轻稀土供应商股价翻番，亲兄弟却算账不明？稀土双雄关联交易遭诟病】同属包钢集团控股，包钢股份与北方稀土在主营业务上自然是相互合作
包钢股份,北方稀土,根据两家公司签订的供销协议，包钢股份生产的稀土精矿“排他性的供给”北方稀土，而北方稀土使用的绝大部分稀土精矿来自于包钢股份，少量采购进口稀土矿及国内其他企业生产的稀土精矿
中信证券,越秀金控,【什么信号？中信证券第二大股东出手，拟增持最多23亿港元股份】8月5日晚，越秀金控公告称，公司或控股/全资子公司拟使用不超过23亿港币(含本数)或等值人民币，增持中信证券股份
平安银行,招商证券,【基金代销自我“革命”：继平安银行之后，招商证券也“试水”基金申购费打一折】基金代销渠道开启了“自我革命”
平安银行,招商证券,继平安银行主动降基金申购费之后，近日又有招商证券官网官宣，在基金销售上进行主动变革，超过3000只A类份额基金申购费率降至一折，超过1200只C类份额基金实现0申购费
赛伍技术,皖天然气,【证监会：赛伍技术、皖天然气发行可转债事项8月9日上会】证监会公告，苏州赛伍应用技术股份有限公司、安徽省天然气开发股份有限公司发行可转债事项8月9日上会
星云股份,宁德时代,【星云股份：5月12日至今与宁德时代方面签订采购订单金额达2.96亿元】星云股份(300648)8月5日晚间公告，5月12日至8月5日，公司连续4个月内与宁德时代及其控股子公司签订采购订单金额累计达到2.96亿元，占公司2020年度主营业务收入的51.72%
科华生物,圣湘生物,公司将支持科华生物与圣湘生物的业务合作，共同推进体外诊断“中国方案”，以推动中国体外诊断产业向更高层次、更高水平发展
天齐锂业,厦钨新能,【天齐锂业：参股公司厦钨新能今日上市】天齐锂业(002466)8月5日晚间公告，公司参股公司厦钨新能8月5日在上交所挂牌上市，发行价格24.50元/股
圣湘生物,科华生物,【圣湘生物：终止购买科华生物18.63%股份事项】圣湘生物(688289)8月5日晚间公告，公司拟通过协议方式购买珠海保联持有的科华生物9586.30万股股份(占科华生物总股本的18.63%)，因至今未完成股权转让过户事宜，无法达到交易各方的预期，依据协议交易双方约定于本阶段终止股份转让事宜
洋河股份,光云科技,洋河股份表示，云锋新呈已进入管理退出期，底层资产明确清晰，投资分布在金融、科技、新零售、汽车、物流及医疗健康等领域，其中小鹏汽车、光云科技等项目已上市并实现较为理想的投资回报预期
越秀金控,中信证券,【越秀金控：拟不超23亿港币增持中信证券股份】越秀金控(000987)8月5日晚间公告，公司或控股/全资子公司拟使用不超过23亿港币（含本数）或等值人民币，增持中信证券股份
中油工程,中国石油,【中油工程：子公司中标项目签订EPCC承包合同】中油工程(600339)8月5日晚间公告，下属全资子公司中国石油工程建设有限公司与西非原油管道(贝宁)股份有限公司签署尼日尔-贝宁原油外输管道项目贝宁段管道标段设计、采购、施工及试运投产服务合同，合同金额3.86亿美元，合同工期42个月
申能股份,长江电力,【申能股份：长江电力方面增持公司1%股份】申能股份(600642)8月5日晚间公告，股东长江电力的一致行动人长电投资于4月19日至8月4日，累计增持公司4912.03万股，占公司总股本的1.00%
长春高新,安科生物,【长春高新与安科生物大跌！“增高针”治疗引发关注】近日，关于“增高针”治疗的健康风险问题引发社会关注
长春高新,安科生物,5日开盘，主营生长激素的长春高新、安科生物双双大跌
长春高新,安科生物,截至5日午间收盘，长春高新跌停，报276.51元；安科生物下跌10.12%，报13.59元
力源信息,比亚迪,【力源信息：子公司帕太和比亚迪在汽车业务方面深度合作，涉及自研和代工项目】力源信息在互动平台表示，公司旗下子公司帕太和比亚迪在汽车业务方面深度合作，涉及自研和代工项目，在汽车上的多媒体系统、空调系统、仪表、BMS、DCDC、变频器、车身控制等方面都有供货
长城汽车,比亚迪,港股汽车股走高，长城汽车涨5.7%，比亚迪股份涨4%，吉利汽车涨近3%，北京汽车涨1.4%
金陵体育,莱茵体育,【体育产业概念开盘多股涨停】8月4日，体育产业概念开盘多股涨停，包括金陵体育、莱茵体育、舒华体育等
中信证券,中国重汽,【中信证券：中国重汽估值处于绝对底部，配置价值凸显，给予目标价22港元】重卡行业销量由于国六切换短期承压，但当前基建、物流需求各项指标均处于正常范围，需求端整体稳定，中长期行业销量中枢有望提升
天风证券,移远通信,【天风证券：给予移远通信目标价209.35元，重申“增持”评级】天风证券研报认为，受益物联网模组量价齐升，移远通信作为行业龙头竞争优势明显，将充分享受行业红利，同时公司积极开拓行业客户，份额持续提升，驱动公司持续高增长
平安银行,杭州银行,【超八成银行股破净，高管积极增持稳股价】在过去2个月，银行板块指数重挫，累计跌幅达24%，其中平安银行、杭州银行等领跌
中国人寿,贵州茅台,《证券日报》记者梳理发现，中国人寿(行业亦称“国寿”)二季度减持了贵州茅台6.7万股，结束了此前连续四个季度的增持态势，减持后，股东位次由第八大股东(同为流通股股东)降至第十大股东
宁德时代,贵州茅台,【只差6亿元！宁德时代有望超茅台，成基金第一重仓股】以二季度末持仓数据计，公募基金今天持有宁德时代、贵州茅台的总市值分别为1511亿元、1517亿元，两者仅相差0.4%，如果再多6亿元，宁德时代便能超越贵州茅台，成为基金第一重仓股！
邮储银行,中国银行,【邮储银行：刘建军自8月1日起正式就任本行行长及执行董事】邮储银行：中国银行保险监督管理委员会已核准刘建军先生担任本行行长及执行董事的任职资格，刘建军自2021年8月1日起正式就任本行行长及执行董事
盛屯矿业,厦钨新能,【盛屯矿业：参股公司厦钨新能源将于8月5日在科创板上市】盛屯矿业公告，公司参股公司厦钨新能源将于2021年8月5日在上海证券交易所上市
比亚迪,宁德时代,新能车巨头比亚迪尾盘封死涨停板，总市值超8000亿元；另一巨头宁德时代亦狂涨超7%，锂电负极指数更是暴拉10.58%
神州数码,农业银行,【神州数码】神州数码消息，8月2日，农业银行总行商用数据脱敏管理工具项目评标结果正式揭晓，神州数码自主研发的TDMP数据脱敏系统从十几家参选商中脱颖而出，成为该项目独家服务商
金风科技,中国银行,【金风科技：与中国银行签署战略合作协议】近日，金风科技与中国银行签署战略合作协议，双方约定在原有良好合作基础上，继续推动绿色金融工具创新，积极统筹协调境内、境外两个市场，调动和安排中国银行全球资源和服务能力，向金风科技及其绿色产业链提供“一揽子”全面金融服务
海量数据,比亚迪,【海量数据：与比亚迪达成合作，Vastbase正式落地比亚迪】海量数据今日官微消息，日前，比亚迪与海量数据举办“共创未来——比亚迪携手海量数据库Vastbase启动仪式”
海量数据,比亚迪,本次海量数据Vastbase在比亚迪的落地，标志着海量数据与比亚迪在数据库技术领域的合作进入一个新阶段
雷曼光电,金陵体育,其中雷曼光电和金陵体育的涨幅高逾20%
比亚迪,广汽集团,比亚迪股份(01211.HK)涨超5%，小鹏汽车(09868.HK)涨2.91%，吉利汽车(00175.HK)涨1.68%，广汽集团(02238.HK)涨0.58%
杭州银行,中国太保,【太保回应减持杭州银行：高度认可杭州银行良好业绩，减持属常规投资操作】针对今年以来连续减持杭州银行，中国太保表示，中国太保高度认可入股以来杭州银行创造的良好业绩
中信证券,中兴通讯,【中信证券：给予中兴通讯目标价48元，维持买入评级】中信证券研报认为，5G设备+ICT设备份额提升将成为中兴通讯业绩增长的强劲动能，子公司中兴微电子的加快发展有望带动公司估值提升
中信证券,长城汽车,【中信证券：上调长城汽车目标价至75元】中信证券研报认为，长城汽车坦克600预计将于8月上市，预计坦克有望成为“个性”但不“小众”的潮流品牌，并在利润端再造一个长城汽车
启明星辰,双环传动,【多股逼近28%“禁买线”，外资青睐业绩稳定个股】在外资“买爆”启明星辰后，近期外资又相中了双环传动(002472)
华新水泥,海螺水泥,考虑到当前估值，我们认为龙头企业具备配置价值，推荐华新水泥、海螺水泥，建议关注中国建材
义翘神州,石头科技,根据公告，义翘神州本次发行价格为292.92元/股，较此前发行价排名第一的石头科技高出21.8元/股
格力电器,环能科技,【格力热泵烟草烘干机实验室获专业认证】近日，格力电器热泵烟草烘干机实验室经过建科环能科技有限公司建筑环境与能源检测院专业评定，各项指标均符合要求，格力成功拿下全国首张评定证书
永太科技,宁德时代,8月2日晚间，永太科技发布公告，宁德时代将向公司采购六氟磷酸锂、双氟磺酰亚胺锂(LIFSI)和碳酸亚乙烯酯(VC)产品
亿纬锂能,恩捷股份,【亿纬锂能携手恩捷股份，52亿投建锂离子电池隔离膜产线】亿纬锂能8月2日晚公告，公司拟与恩捷股份在荆门设立合资公司，分别持股45%和55%
深圳燃气,东方日升,【深圳燃气拟18亿收购东方日升旗下斯威克50%股权】8月2日晚间，东方日升(300118)与深圳燃气(601139)齐发公告，就东方日升旗下江苏斯威克新材料股份有限公司(下称“斯威克”)股权交易事项达成协议
深圳燃气,东方日升,根据协议，深圳燃气将与深圳国资委下属企业等合资成立项目公司，作价18亿元收购东方日升持有的斯威克50%股权，以实现对斯威克的控股；而东方日升对斯威克将实现从控股到参股的转变，经初步测算，预计产生税前利润7.7亿元
紫金矿业,西部矿业,从增持和新进持仓股票来看，邓晓峰对有色金属尤为关注，二季度重点加仓了紫金矿业和西部矿业，冯柳和杨东则较为关注军工股
涪陵榨菜,安琪酵母,景林资产和石锋资产则分别新进涪陵榨菜和安琪酵母
厦门钨业,厦钨新能,【厦门钨业：子公司厦钨新能将于8月5日在科创板上市】厦门钨业公告，控股子公司厦钨新能股票将于8月5日在科创板上市
中电科,福田汽车,【北京汽车关联公司注册资本增至约4亿元】据天眼查APP显示，近日，北京国家新能源汽车技术创新中心有限公司发生工商变更，新增股东中电科投资控股有限公司、北汽福田汽车股份有限公司、河钢集团有限公司等，同时公司注册资本由1.6亿人民币增至约4亿人民币，增幅约150%
宁德时代,永太科技,【与宁德时代的大订单公布之前，这公司股价已涨停“抢跑”】8月2日晚间，永太科技公告称已与宁德时代签订物料采购协议，并且宁德时代将预付公司6亿元产品货款
光大证券,贵州茅台,【光大证券：维持贵州茅台“买入”评级，茅台酒增长稳健，直销渠道快速发展】光大证券发布研究报告称，近期贵州茅台(600519.SH)股价波动较大，市场存在一定悲观情绪，该行认为公司基本面坚挺，业绩增长确定性无虞
中远海控,中远海发,【板块异动】集装箱运费暴涨4倍，港口海运股走强，东方海外国际涨超8%，中远海控涨超7%，招商局港口涨3.51%，太平洋航运涨3.47%，中远海发涨2.07%
华安证券,贵州茅台,【华安证券：贵州茅台二季度业绩符合预期，年度目标可稳步实现】华安证券研报认为，贵州茅台二季度业绩符合预期，年度目标可稳步实现
国泰君安,贵州茅台,【国泰君安：维持贵州茅台增持评级，下调目标价至2138元】国泰君安证券点评贵州茅台2021年中报称，业绩符合预期，税金季度波动消退，报表保持高质量呈现，维持增持评级
中炬高新,涪陵榨菜,而从近期上市公司披露的公告来看，酱油龙头中炬高新、榨菜茅涪陵榨菜均遭张坤减持
中科创达,江淮汽车,【中科创达：江淮汽车集团李卫兵一行到访公司上海智能体验中心】中科创达消息，近日，江淮汽车集团智能网联汽车研究院院长李卫兵一行到访中科创达上海智能体验中心，与中科创达执行总裁武文光等代表围绕智能座舱开发、基于Kanzi的人机交互界面设计等进行了深入探讨，并对未来双方的合作进行了畅想与交流
宁德时代,绿地控股,【8家房企霸屏世界500强，总市值不及一个宁德时代】榜单中，共有8家房企，均为中国企业，它们分别是中国恒大、碧桂园、绿地控股、万科、保利发展、融创中国、龙湖集团、华润置地
中科创达,德赛西威,【明星机构“踏破门槛”！嘉实、兴全、高毅等扎堆调研智能汽车，下一个风口？】证券时报记者梳理发现，近期，智能汽车板块龙头中科创达、德赛西威均获机构扎堆调研，甚至还有机构多次参与，屡试不爽
恩捷股份,胜利精密,【恩捷股份：拟与实控人、胜利精密共同布局3C消费电子和新能源等领域】恩捷股份(002812)8月2日晚间公告，公司拟与公司实控人李晓明家族成员、胜利精密共同出资设立合资公司，其中公司、李晓明家族方面合计持股65%，胜利精密持股35%
华泰证券,中金公司,【半导体，“熄火”了吗？华泰证券黄乐平：未来几年仍旧是一个确定性很高的板块】近日，上海证券报记者专访华泰证券TMT研究组负责人、科技与电子首席分析师黄乐平，他曾就职于诺基亚、野村证券、中金公司，有着丰富的科技行业研究经验
永太科技,宁德时代,【永太科技：向宁德时代供应六氟磷酸锂等产品】永太科技(002326)8月2日晚间公告，与宁德时代签订物料采购协议，宁德时代向公司采购六氟磷酸锂、双氟磺酰亚胺锂(LIFSI)和碳酸亚乙烯酯(VC)产品
维宏股份,中信建投,【维宏股份三连涨停：南京开通未来能否完成业绩对赌存在不确定性】维宏股份(300508)8月2日晚披露股票交易异常波动公告：7月30日中信建投发布“厚积薄发，激光与车铣等领域开始发力”简报，指出公司收购的南京开通仅半年度就大幅超额完成全年业绩对赌等
双箭股份,博杰股份,【证监会：双箭股份、博杰股份发行可转债事项获通过】证监会公告，浙江双箭橡胶股份有限公司、珠海博杰电子股份有限公司发行可转债事项获通过
深圳燃气,东方日升,【深圳燃气：拟18亿元收购东方日升旗下斯威克控股权】深圳燃气(601139)8月2日晚间公告，公司以及下属子公司深燃鲲鹏合计出资17.84亿元，设立项目投资公司(注册资本18亿元)，由项目投资公司以18亿元的价格收购东方日升(300118)持有的斯威克1.4亿股股份，交易完成后项目投资公司持有斯威克50%股份
兴业证券,广发证券,买方均为兴业证券莆田学园中街证券营业部，卖方分别为兴业证券莆田学园中街证券营业部和广发证券上海东方路证券营业部
亿纬锂能,恩捷股份,【亿纬锂能：拟与恩捷股份合作开展锂离子电池隔离膜和涂布膜的制造】　亿纬锂能(300014)8月2日晚间公告，拟与恩捷股份合作在荆门设立合资公司，该合资公司将专注于锂离子电池隔离膜和涂布膜的制造，年产能为16亿平米湿法基膜以及与之产能完全匹配的涂布膜，并优先向公司及其子公司供应，项目计划投资总额为52亿元
飞利信,广发证券,【飞利信：中标广发证券2021国家护网项目web防护设备项目】飞利信消息，近日，飞利信安全技术中心成功中标广发证券2021国家护网项目web防护设备项目
飞利信,广发证券,飞利信的安全技术团队将深度调研客户在网络环境下的业务安全场景，将Web应用防火墙部署在马场数据中心交易线路和测试网、科学城数据中心手机交易线路和网上交易线路以及广发证券大厦智能网和测试网，为相关入口的互联网Web应用提供安全防护能力
菲林格尔,香山股份,【“亚洲飞人”苏炳添创造历史，提前押宝的品牌走运了】记者梳理发现，在过去一年，苏炳添合作的品牌包括伊利、耐克、菲林格尔、广汽传祺、香山股份、Sealy丝涟中国、京东PLUS等等
中国电信,中国联通,经过中国信通院及中国电信、中国移动、中国联通三大运营商相关团队的紧急升级扩容，行程卡网页版、微信小程序及APP目前已经全部恢复查询功能
上海银行,中国银行,【上海银行：上银理财有限责任公司获准筹建】上海银行公告，近日，公司收到《中国银保监会关于筹建上银理财有限责任公司的批复》，中国银行保险监督管理委员会同意公司筹建上银理财有限责任公司
中远海控,中信建投,【中远海控(01919.HK)涨超8%领涨海运股，中信建投称三季度集运超级旺季已经开启】海运股今日重获资金追捧，截至发稿，中远海控(01919.HK)涨7.69%，报12.6港元；东方海外国际(00316.HK)涨7.68%，报152.9港元；太平洋航运(02343.HK)涨5.49%，报3.65港元；海丰国际(01308.HK)涨3.28%，报33.05港元
中国重汽,中联重科,港股重型机械板块持续上扬，中国重汽涨13.5%，中联重科涨13%，三一国际涨7.8%，中国龙工涨5.4%
中联重科,中国重汽,重型机械股大爆发，中联重科、中国重汽均大涨超11%
中联重科,中国重汽,重型机械股大爆发，中联重科、中国重汽均大涨超11%
光大证券,涪陵榨菜,【光大证券维持涪陵榨菜买入评级，预计2021年净利润同比增长3.98%】光大证券8月1日发布研报，维持涪陵榨菜买入评级
东北证券,华帝股份,【东北证券首次给予华帝股份买入评级，目标价8.3元】东北证券8月1日发布研报，首次给予华帝股份买入评级，目标价位8.3元
中国平安,贵州茅台,对中国平安加仓金额最大，对贵州茅台减仓金额最大
东方雨虹,中国平安,此外，北向资金对东方雨虹的加仓金额与中国平安接近，在7月28日、7月29日、7月30日连续加仓东方雨虹
中国平安,贵州茅台,对中国平安加仓金额最大，对贵州茅台减仓金额最大
华泰证券,方正证券,近期出现了不少电子研究员们“大放厥词”的八卦，前有华泰证券前电子首席称张坤“不行”，后有方正证券电子首席微信群里怼中芯国际光刻胶负责人、导致自己被移出群聊
康泰生物,君实生物,【mRNA赛道火热，嘉晨西海“一女四嫁”？】7月以来，嘉晨西海陆续和天境生物、康泰生物、君实生物等上市公司签署合作协议，共同开发mRNA药物
隆基股份,天合光能,在前十的排名中，中国光伏企业占据了大半部分，隆基股份、天合光能、晶澳科技位列前三名
牧原股份,温氏股份,值得注意的是，易方达两大王牌萧楠、张坤在同一天兵分两路分别调研了牧原股份和温氏股份
固德威,天能股份,【电力周评：固德威股价上涨38.22%异军突起，中广核跌至谷底】本周电力行业板块TOP10添了新面孔，天能股份与固德威两只电力“新秀”在本周表现突出，其股价在周内也都经历了大起大落
潮宏基,万集科技,【今日34公司公布半年报，11家业绩增幅翻倍】7月31日共有34家公司公布2021年半年报，其中29家净利润同比增长，5家下降，27家营业收入同比增长，7家下降，净利润和营业收入同时增长的公司有潮宏基等26家，利润收入均下降的有万集科技等4家，业绩增幅翻倍的公司有11家，其中潮宏基增幅最大，达1404.43%
陕西黑猫,平煤股份,【夏季用煤高峰需求持续释放，煤炭ETF（515220）逆势走强】山西焦煤、陕西黑猫、平煤股份等多股高涨，煤炭ETF（515220）涨超3%，成交额超1亿元
中信证券,宁德时代,【中信证券：宁德时代率先发布钠离子电池，给予目标价754元/股】中信证券研报认为，宁德时代率先发布第一代钠离子电池，能量密度等性能、AB结构创新等超出市场预期，彰显公司极强的创新能力，引领产业发展
宁德时代,国信证券,【怎么看宁德时代的钠离子电池？】国信证券：宁德时代此次发布的钠离子电池将主要应用于储能系统及两轮车领域，成为锂离子电池补充，其业务进展和估值成为行业发展和投资风向标之一
同兴达,天风证券,投资者关系活动记录显示，7月14日、15日、16日、27日同兴达密集接受多家机构调研，其中天风证券两次参与
永泰能源,长江电力,【永泰能源所属华元新能源拟联手三峡电能开发新能源项目】永泰能源7月29日晚间公告，公司所属全资公司华元新能源与长江电力所属控股公司三峡电能在武汉市签署《战略合作协议》，就合作开发新能源项目达成合作意向
东方财富,工商银行,【跌哭了！2个“宇宙行”蒸发】东方财富Choice数据显示，从今年2月19日至今茅指数总市值蒸发了3.47万亿元，相当于跌去了两个工商银行，而其中有2.27万亿元是在7月份损失的
智慧能源,蓝天燃气,2019年3月至2020年1月，公司控股子公司无锡协鑫智慧能源运营管理有限公司、协鑫智慧能源股份有限公司、广州协鑫蓝天燃气热电有限公司向六家第三方供应商江苏东凯能源有限公司等预付货款1.53亿元未及时结算
银轮股份,严牌股份,【银轮股份：参股公司严牌股份IPO获得批准】银轮股份(002126)7月30日晚间公告，参股公司严牌股份收到批复，中国证监会同意严牌股份在创业板首次发公开发行股票注册
金冠电气,金冠股份,"监管函称，洛阳古都资管作为吉林省金冠电气股份有限公司的控股股东，持有的217,165,715股金冠股份股票于2021年1月28日被司法冻结，占金冠股份总股数的26.21%，但公司直至2021年4月21日才通过金冠股份对外披露"
海天味业,五粮液,【大摩：食品饮料股首选蒙牛(02319)、华润啤酒(00291)等，憧憬下半年产品提价带动利润率改善】大摩发布研究报告称，农夫山泉(09633)升至“与大市同步”评级，首选股为蒙牛(02319)、海天味业(603288.SH)、华润啤酒(00291)、百胜中国(09987)、茅台(600519.SH)及五粮液(000858.SZ)；同时也看好百威亚太(01876)及九毛九(09922)可在市场中复苏
北京科锐,金风科技,【北京科锐：与金风科技全面战略合作联手开拓新能源市场】北京科锐(002350)7月30日晚间公告，公司与金风科技(002202)当日签署《全面战略合作协议》，双方将联手开拓新能源市场，成为清洁能源的整体解决方案提供商
金风科技,北京科锐,合作内容包括，金风科技方面及北京科锐各出资4亿元、1.35亿元参与投资深圳柏纳启航新能源产业基金(有限合伙)等
华泰证券,东北证券,野村东方国际削海底捞目标价43.6%，指利润率压力明显高于预期；华泰证券指出，公司1H21利润不及预期，将目标价下调至36.5港元；东北证券表示，公司盈利不及预期，静待经营筑底调整；瑞信指海底捞中期业绩指引逊预期，料市场反应负面
鞍钢股份,重庆钢铁,【板块异动】港股钢铁板块短线拉升，马鞍山钢铁股份涨8.8%，鞍钢股份涨6.3%，重庆钢铁股份涨3.7%
中国平安,中国太保,个股层面，中国平安A股、H股年内分别回调37.8%、29.35%，中国太保A股、H股年内分别下跌28.06%、25.65%
招商银行,上海银行,日前，央行官宣招商银行被纳入数字人民币运营机构，上海银行等多家商业银行积极参与数字人民币钱包的推广
永泰能源,长江电力,【永泰能源：全资公司与三峡电能战略合作】永泰能源(600157)7月29日晚间公告，公司所属全资公司华元新能源，与长江电力所属控股公司三峡电能签署《战略合作协议》，双方将合作开发新能源项目
百润股份,北方稀土,从机构评级变动看，今日机构买入型评级记录中，有13条评级记录为机构首次关注，涉及百润股份、北方稀土等12只个股
宁德时代,比亚迪,【机构：宁德时代电池市占率29.9%全球排名第一，比亚迪第四】7月29日消息，韩国能源市场分析公司SNE，Research于29日发布的调查结果显示，LG能源解决方案以24.5%的市占率排名全球第二，三星SDI和SK创新各以5.2%的市占率排名第五和第六
宁德时代,比亚迪,中国电池巨头宁德时代（CATL）以29.9%的市占率排名第一，日本松下和中国比亚迪分别以15%和6.9%位列第三、第四
长城汽车,比亚迪,【板块异动】港股汽车板块午后涨幅扩大，小鹏汽车涨超12%，恒大汽车涨近11%，长城汽车涨10%，东风集团股份、比亚迪股份均涨超9%
中信证券,保利地产,【中信证券：目前是优秀地产公司很好的投资时点，推荐万科、龙湖集团、保利地产等公司】市场对于地产企业的担心，主要是盈利能力下降和资产负债表质量的担心
赢合科技,上海电气,【赢合科技：控股股东上海电气相关事项不会影响公司正常经营】赢合科技(300457)7月28日晚间公告，公司控股股东上海电气董事长兼首席执行官、法定代表人郑建华涉嫌严重违纪违法，目前正接受上海市纪委监委纪律审查和监察调查
