head,tail,sentence,time,head_code,tail_code,src,relation
海得控制,智慧能源,海得控制公告，公司正在加大对储能系统业务的投资，公司拟与深圳海能投资科技合伙企业（有限合伙）等共同出资1.5亿元，设立控股子公司浙江海得智慧能源有限公司，主要从事新能源储能系统及配套产品的研发、生产、销售、系统集成服务；新能源项目...,2022-12-09 21:29:00,002184.SZ,600869.SH,10jqka,上级
科达利,宁德时代,科达利公告，公司与宁德时代签署战略合作协议，在同等条件下，宁德时代优先选择科达利作为电芯机械件供应商，份额不低于40%，科达利优先保证宁德时代的产品需求,2022-12-09 19:26:00,002850.SZ,300750.SZ,10jqka,合作
长盈精密,宁德时代,长盈精密：与宁德时代签订战略合作协议，进一步加深双方在模组，电池Pack包结构件的合作，加强电池包箱体、挤出端侧板、钢轧带、水冷板、BUSBAR（巴片）、CCS（电芯连接系统）等其他产品或者项目的合作,2022-12-09 17:46:00,300115.SZ,300750.SZ,10jqka,合作
中国电建,上海电力,中国电建公告，近日，公司及上海电力建设有限责任公司按照70%：30%的比例组成联合体，与阿根廷经济部能源秘书处签订了阿根廷国家主干天然气管道系统EPC项目合同，合同金额为19.05亿美元，折合人民币约为136.21亿元,2022-12-09 17:26:00,601669.SH,600021.SH,10jqka,合作
祥鑫科技,宁德时代,祥鑫科技：2022年12月08日，与宁德时代新能源科技股份有限公司签订战略合作协议,2022-12-09 15:57:00,002965.SZ,300750.SZ,10jqka,合作
比亚迪,赣锋锂业,港股锂电池板块盘初走高，中创新航、中国石墨涨近5%，比亚迪电子、赣锋锂业涨近4%,2022-12-08 09:57:00,002594.SZ,002460.SZ,10jqka,同涨
新华制药,复星医药,港股抗疫概念股走高，山东新华制药股份涨近8%，歌礼制药涨近5%，复星医药涨近3%,2022-12-08 09:35:00,000756.SZ,600196.SH,10jqka,同涨
中油资本,航天信息,中油资本低开6.5%，航天信息公告，拟减持中油资本2.46亿股股票,2022-12-08 09:26:00,000617.SZ,600271.SH,10jqka,减持
桂林旅游,曲江文旅,免税概念、零售概念涨幅居前，旅游板块午后拉升，桂林旅游、曲江文旅涨停,2022-12-08 04:21:00,000978.SZ,600706.SH,10jqka,同涨
东威科技,胜利精密,东威科技公告，公司与胜利精密签订《战略合作框架协议》，对“新型高速高效水平夹持式复合铜箔电镀设备”进行开发合作,2022-12-08 18:51:00,688700,002426.SZ,10jqka,合作
时代新材,中国中车,时代新材12月8日公告，为彻底解决与中国中车与株洲时代新材料科技股份有限公司同业竞争问题，时代新材间接控股子公司青岛博锐智远减振科技有限公司拟向中国中车之全资子公司中车青岛四方车辆研究所有限公司之控股子公司中车制动系统有限公司购买...,2022-12-08 18:06:00,600458.SH,601766.SH,10jqka,合作
中油资本,中国石油,中油资本12月8日晚间公告，公司全资子公司中国石油集团资本有限责任公司拟与公司控股股东中石油集团签署《股权转让协议》，以3.23亿元购买中石油集团持有的银河基金管理有限公司12.5%的股权,2022-12-08 18:00:00,000617.SZ,601857,10jqka,上级
科拓生物,中信证券,科拓生物尾盘20cm竞价跌停，盘后龙虎榜数据显示，中信证券深圳分公司尾盘跌停价净卖出224.86万元；3家机构专用席位净买入146.21万元，2家机构专用席位净卖出671.00万元,2022-12-08 17:40:00,300858,600030.SH,10jqka,同跌
九州通,东方生物,九州通在互动平台表示，目前公司抗原检测产品销售增长较快的主要有东方生物、生之源等厂家产品，其中12月第一周（1-7日）销售额环比上一周增长较快，东方生物产品环比增速达291%，生之源产品环比增速达3031%,2022-12-08 14:12:00,600998,688298,10jqka,同行
中国银行,建设银行,据21世纪经济报道，12月8日，记者获悉，中国银行原董事会秘书王兵已正式出任中国建设银行党委委员，在走完必要的程序后，王兵将出任建设银行副行长,2022-12-08 13:55:00,601988,601939,10jqka,同行
阳普医疗,千红制药,抗原检测板块午后异动拉升，英诺特涨超10%，济民医疗涨停，阳普医疗、千红制药、亚辉龙、毅昌科技等纷纷冲高,2022-12-08 13:02:00,300030.SZ,002550.SZ,10jqka,同涨
昭衍新药,泰格医药,港股CXO概念股走高，金斯瑞生物科技涨近5%，昭衍新药涨近4%，维亚生物、泰格医药涨超3%,2022-12-07 09:50:00,603127.SH,300347.SZ,10jqka,同涨
中国银行,光大银行,据证券时报，昨日，中国光大集团官网更新的“集团领导”信息显示，中国银行副行长王志恒履新，现任中国光大集团党委委员，兼任中国光大银行党委委员、副书记,2022-12-07 06:18:00,601988,601818.SH,10jqka,同行
航天信息,中油资本,航天信息12月7日晚间公告，公司拟通过集合竞价、大宗交易等方式，减持中油资本股票，减持数量2.46亿股,2022-12-07 21:19:00,600271.SH,000617.SZ,10jqka,减持
华贸物流,和而泰,华贸物流：公告，近日，公司与和而泰签订了《战略合作协议》，双方互将对方视为自己的重要合作伙伴，根据双方的发展需要，在3国际空海铁运输，跨境物流，仓储陆运等领域开展合作，加强交流协作，共创发展契机,2022-12-07 17:50:00,603128.SH,002402.SZ,10jqka,合作
天山股份,冀东水泥,天山股份公告，公司拟与冀东水泥共同投资设立辽宁金中水泥集团有限公司,2022-12-07 16:13:00,000877.SZ,000401.SZ,10jqka,合作
天山股份,冀东水泥,合资公司注册资本18亿元，天山股份与冀东水泥以现金方式各自认缴出资9亿元，分别持有合资公司50%的股权,2022-12-07 16:13:00,000877.SZ,000401.SZ,10jqka,合作
晓鸣股份,七彩化学,晓鸣股份：公司11月销售鸡产品1808.94万羽，销售收入6348.38万元，环比变动分别为-1.65%、0.87%，同比变动分别为18.76%、29.89%；七彩化学：公司签署意向投资协议，拟和悦达汽车基金、吴中金控基金共同投资“苏州悦钠新能源科技有限公司”,2022-12-07 12:16:00,300967,300758.SZ,10jqka,未知Unknown
金风科技,东方电气,港股风电板块震荡拉升，金风科技涨近6%，东方电气涨超3%，龙源电力、大唐新能源等跟涨,2022-12-06 10:45:00,002202.SZ,600875.SH,10jqka,同涨
长城汽车,比亚迪,港股汽车股震荡拉升，零跑汽车涨近8%，吉利汽车涨超5%，长城汽车涨近5%，北京汽车、比亚迪股份涨超2%,2022-12-06 10:24:00,601633.SH,002594.SZ,10jqka,同涨
中国平安,中国人寿,港股内险股震荡下行，中国平安跌超3%，中国人寿、中国再保险跌近2%,2022-12-06 09:45:00,601318.SH,601628.SH,10jqka,同跌
新华制药,康希诺,港股抗疫概念股异动拉升，山东新华制药股份涨近10%，中国中药涨超2%，康希诺生物等转涨，石药集团、歌礼制药跌幅收窄至0.5%,2022-12-06 09:38:00,000756.SZ,688185,10jqka,同涨
比亚迪,长城汽车,港股汽车股多数低开，小鹏汽车跌7%，蔚来汽车跌5%，比亚迪股份、长城汽车跌逾2%,2022-12-06 09:25:00,002594.SZ,601633.SH,10jqka,同跌
招商轮船,海油发展,除了招商轮船，海油发展也刚刚收获大单,2022-12-06 07:12:00,601872.SH,600968.SH,10jqka,同行
中自科技,长安汽车,中自科技在投资者关系活动记录表中披露，公司今年取得长安汽车公司多个定点通知函，成功进入乘用车催化剂体系,2022-12-06 20:05:00,688737,000625.SZ,10jqka,供应
万华化学,天合光能,万华化学官微发布，万华化学携手国能集团、天合光能等在山东省潍坊市建设1260MWp的海上光伏发电项目,2022-12-06 16:47:00,600309.SH,688599,10jqka,合作
南岭民爆,高争民爆,民爆概念午后异动拉升，南岭民爆一度触及涨停，保利联合、高争民爆、广东宏大等跟涨,2022-12-06 13:09:00,002096.SZ,002827.SZ,10jqka,同涨
合力泰,闻泰科技,天德钰在互动平台表示，目前已与BOE、群创光电、华星光电、合力泰、国显科技、星源电子、华勤通讯、闻泰科技、龙旗通讯等知名下游企业建立了稳定的合作关系，产品已广泛应用于华为、小米、三星、OPPO、VIVO、传音等手机品牌以及亚马逊、谷歌、百...,2022-12-05 08:53:00,002217.SZ,600745.SH,10jqka,合作
埃斯顿,拓斯达,具备核心技术、不断拓展下游市场应用的主机厂有望受益，推荐关注埃斯顿和关注拓斯达；...,2022-12-05 08:25:00,002747.SZ,300607.SZ,10jqka,同行
中金公司,中信证券,据港交所文件，12月4日，上海上美化妆品股份有限公司通过港交所上市聆讯，联席保荐人为摩根大通、中金公司、中信证券,2022-12-05 07:59:00,601995,600030.SH,10jqka,未知Unknown
福田汽车,宁德时代,福田汽车：拟与宁德时代共同出资成立福田时代新能源科技有限公司，开展新能源电池经营性租赁业务，合资公司注册资本为2亿元，公司拟现金出资1亿元，持有合资公司50%的股权,2022-12-05 18:41:00,600166.SH,300750.SZ,10jqka,合作
牧原股份,温氏股份,成本控制优异、盈利能力有保障、财务稳健的企业有望穿越周期牛熊，根据12月2日各企业市值对应2023年出栏量，建议关注牧原股份，推荐积极左侧布局温氏股份、巨星...,2022-12-05 17:50:00,002714.SZ,300498.SZ,10jqka,同行
比亚迪,天合光能,据中证报，12月5日上午，针对美国商务部12月2日发布针对光伏电池和组件的反规避调查初裁决定，比亚迪、天合光能、隆基绿能等涉事企业回应称，这只是初步的裁定，暂时还不具备法律效应，目前公司通关正常，会跟进后续的进展,2022-12-05 16:04:00,002594.SZ,688599,10jqka,同行
天奇股份,上海钢联,据天奇股份消息，近日，天奇股份控股子公司湖北力帝机床股份有限公司与上海钢联电子商务股份有限公司举行合作签约仪式,2022-12-05 15:22:00,002009.SZ,300226.SZ,10jqka,合作
宁德时代,比亚迪,厂商排名方面，两家中国的厂商宁德时代和比亚迪领跑了整个动力电池行业，装机量分别达到了...,2022-12-05 12:59:00,300750.SZ,002594.SZ,10jqka,同行
浙江医药,中欣氟材,钠创新能源首席科学家马紫峰重点介绍了钠离子电池工作原理特点，阐述了钠创作为链主型企业带动浙江医药、中欣氟材等企业联动开发钠电电解液原料，推动钠电产业集群的发展规划,2022-12-13 11:47:20,600216.SH,002915.SZ,eastmoney,同行
蓝帆医疗,国际医学,【蓝帆医疗：拟不超24.8亿元投建科创总部及产业化基地项目】蓝帆医疗(002382)12月13日晚间公告，公司拟在上海市浦东新区上海国际医学园区投资建设蓝帆医疗科创总部及产业化基地项目,2022-12-13 20:40:42,002382.SZ,000516.SZ,eastmoney,投资
完美世界,三七互娱,【“魔兽世界”正洽谈新合作伙伴！A股游戏板块拉升，谁会成为下一个代理商？】12月13日，游戏板块下午异动拉升，完美世界一度涨超7%，三七互娱等公司跟涨,2022-12-13 20:35:02,002624.SZ,002555.SZ,eastmoney,同涨
海通证券,光大证券,【宣泰医药涨超10%，一机构卖出1485万元】宣泰医药今日再涨超10%，换手率近55%，一机构卖出1485万元，海通证券上海黄浦区福州路、平安证券会员总部、光大证券证券投资部均买入上千万元,2022-12-13 16:33:50,600837.SH,601788.SH,eastmoney,同涨
正邦科技,华统股份,【两大千亿巨头大举回购！果然大涨】12月13日上午，猪肉板块最高大涨4.19%，位列板块涨幅榜前五，正邦科技、华统股份涨停,2022-12-13 14:32:37,002157.SZ,002840.SZ,eastmoney,同涨
温氏股份,牧原股份,此前，温氏股份、牧原股份两大千亿市值生猪养殖龙头，先后于12月4日、12月12日公告，拟使用自有资金大举回购公司股份,2022-12-13 14:32:37,300498.SZ,002714.SZ,eastmoney,同行
西藏药业,生物股份,【西藏药业：公司暂不具备代工mRNA疫苗条件】西藏药业(600211)在互动平台表示，目前，公司作为斯微生物的股东之一，持有斯微生物股份11.4万股，与其不存在其他业务合作关系,2022-12-13 14:19:20,600211.SH,600201.SH,eastmoney,供应
振东制药,贵州百灵,【防疫中药材价格开始走高，振东制药、贵州百灵回应】新冠疫情大幅拉动莲花清瘟的销量，也让市场开始关注其上游的药材资源,2022-12-13 13:40:16,300158.SZ,002424.SZ,eastmoney,同行
中国电信,中国联通,【“通信行程卡”正式下线，三大运营商表态将删除行程卡用户数据】12月12日，中国移动、中国电信以及中国联通陆续宣布，三大运营商将按照相关规定，自12月13日0时“通信行程卡”服务下线后，同步删除用户行程相关数据，依法保障个人信息安全,2022-12-13 13:02:32,601728,600050.SH,eastmoney,同行
中金公司,中信证券,上美股份12月4日通过港交所聆讯，摩根大通、中金公司和中信证券担任联席保荐人,2022-12-12 11:42:59,601995,600030.SH,eastmoney,未知Unknown
科达利,宁德时代,【新能源车培育新动力，混搭电池包加速“超车”】12月9日，科达利宣布与宁德时代签署钠离子电池战略合作协议,2022-12-12 02:32:51,002850.SZ,300750.SZ,eastmoney,合作
中国电信,中国联通,【三大运营商将删除行程卡用户数据】12月12日，中国电信、中国联通、中国移动三大运营商均表示，将按照有关法律规定，自12月13日0时“通信行程卡”服务下线后，同步删除用户行程相关数据，依法保障个人信息安全,2022-12-12 21:41:49,601728,600050.SH,eastmoney,同行
工商银行,中国银行,试点业务启动后，企业可在成都市辖区内工商银行、中国银行的21个网点申请开立本外币合一银行结算账户,2022-12-12 21:16:20,601398.SH,601988,eastmoney,同行
五粮液,九安医疗,主力资金净卖出前20大个股中，主力净卖出最多的是五粮液，净卖出9亿元；排名第二的是九安医疗，净卖出7.9亿元,2022-12-12 18:38:41,000858.SZ,002432.SZ,eastmoney,增持
包钢股份,北方稀土,【包钢股份：与北方稀土协商，拟将稀土精矿价格调整为不含税35313元/吨】包钢股份公告，经包钢集团协调，公司与北方稀土协商，拟将稀土精矿价格调整为不含税35313元/吨,2022-12-12 16:52:56,600010.SH,600111.SH,eastmoney,合作
洋河股份,古井贡酒,地产酒板块推荐洋河股份，关注古井贡酒,2022-12-12 16:19:17,002304.SZ,000596.SZ,eastmoney,同行
联得装备,京东方,【联得装备：预中标1.36亿元京东方AMOLED生产线项目】联得装备晚间公告，公司为京东方重庆第6代AMOLED（柔性）生产线项目的第一中标候选人，中标设备包括真空贴合设备、偏光片贴片机、散热膜贴附机，中标价格1.36亿元,2022-12-12 15:56:21,300545.SZ,000725.SZ,eastmoney,供应
新华制药,以岭药业,对于治疗环节，我们在此前的报告中提示过除口服药物以及抗体外，对症治疗西药产业链或将迎来需求驱动下的业绩增长，建议关注具备多重产业链优势的企业，如新华制药等；中药产业链投资机会也在持续兑现，建议关注以岭药业等,2022-12-12 12:33:58,000756.SZ,002603.SZ,eastmoney,同行
和胜股份,宁德时代,【和胜股份：与宁德时代签订战略合作协议】和胜股份公告，与宁德时代签订《战略合作协议》，进一步加深双方在新能源产业的合作，开展新能源汽车电池系统下箱体等深入合作,2022-12-11 16:42:19,002824.SZ,300750.SZ,eastmoney,合作
易事特,东方集团,【易事特：广物控股集团拟取得公司控制权】易事特公告，广东恒锐拟将其持有的公司17.94%的股权协议转让给广物控股集团，自股份过户完成后，东方集团在未来五年内不可撤销地放弃持有公司的31.78%股份的表决权，东方集团支持广物控股集团在上市公司董事会中取得过半数席位，广物控股集团取得公司控制权,2022-12-11 16:31:53,300376.SZ,600811.SH,eastmoney,被投资
康缘药业,片仔癀,【山东新冠中医药防治方案优化，新纳入康缘药业、片仔癀等公司旗下药品】记者从知情人士了解到，在山东省卫健委最新印发的《山东省新型冠状病毒肺炎中医药防治方案(2022优化版)》中，相比前一版《山东省中医疫病防治方案(2022冬春季补充版)》，纳入了一些新入选的中成药作为新冠推荐治疗方案，其中康缘药业旗下药品新入选较多，共有散寒化湿颗粒、热毒宁注射液、金振口服液三款，主要针对症状分别为轻型的寒湿郁肺证、普通型的气营两燔证、重型的疫毒闭肺证,2022-12-11 13:11:47,600557.SH,600436.SH,eastmoney,同行
诺禾致源,君实生物,同一时间，创新药ETF(515120)涨0.14%，成分股中，诺禾致源涨超9%，君实生物-U涨超7%,2022-12-09 11:58:11,688315,688180,eastmoney,同涨
中钨高新,华锐精密,重点推荐：中钨高新、欧科亿、华锐精密,2022-12-09 08:30:04,000657.SZ,688059,eastmoney,同行
上汽集团,长城汽车,目前，上汽集团、长城汽车、宝马等多家车企已在氢燃料电池领域提前布局,2022-12-09 05:55:18,600104.SH,601633.SH,eastmoney,同行
南国置业,中国电建,【南国置业：提请股东大会审批增加股东借款额度】南国置业(002305)12月9日晚间公告，根据公司整体经营计划和资金需求情况，公司董事会提请股东大会审批自股东大会通过之日起，至2022年度股东大会召开日止，增加公司及其控股子公司获取公司控股股东中国电建地产集团股东借款余额不超过20亿元,2022-12-09 21:11:53,002305.SZ,601669.SH,eastmoney,未知Unknown
科达利,宁德时代,【科达利：与宁德时代签署战略合作协议】科达利公告，与宁德时代签订战略合作协议，加强双方在钠离子电池和麒麟电池等新技术在全球范围内的战略合作；加快落实海外合作建设电芯结构件生产基地，实现双方全球化配套合作,2022-12-09 19:28:40,002850.SZ,300750.SZ,eastmoney,合作
宁德时代,科达利,在同等条件下，宁德时代优先选择科达利作为电芯机械件供应商，份额不低于40%，科达利优先保证宁德时代的产品需求,2022-12-09 19:28:40,300750.SZ,002850.SZ,eastmoney,供应
长盈精密,宁德时代,【长盈精密：与宁德时代签订战略合作协议】长盈精密公告，与宁德时代签订战略合作协议，进一步加深双方在模组，电池Pack包结构件的合作，加强电池包箱体、挤出端侧板、钢轧带、水冷板、BUSBAR（巴片）、CCS（电芯连接系统）等其他产品或者项目的合作,2022-12-09 17:47:22,300115.SZ,300750.SZ,eastmoney,合作
中国电建,上海电力,【中国电建：签署136.21亿元阿根廷国家主干天然气管道系统EPC项目合同】中国电建公告，近日，公司及上海电力建设有限责任公司按照70%：30%的比例组成联合体，与阿根廷经济部能源秘书处签订了阿根廷国家主干天然气管道系统EPC项目合同，合同金额为19.05亿美元，折合人民币约为136.21亿元,2022-12-09 17:29:55,601669.SH,600021.SH,eastmoney,合作
中国石油,中国石化,【中国石油：国有股份无偿划转完成过户登记，中国石化集团将持1%公司股份】中国石油12月9日公告，近日，公司接到控股股东中国石油集团转来的由中国证券登记结算有限责任公司出具的《过户登记确认书》，确认上述国有股份无偿划转的股份过户登记手续已办理完毕,2022-12-09 17:16:44,601857,600028.SH,eastmoney,未知Unknown
祥鑫科技,宁德时代,【祥鑫科技：与宁德时代签订战略合作协议】祥鑫科技公告，与宁德时代签订战略合作协议，进一步加深双方在电池Pack箱体领域结构件的合作，加强冲压件（包含且不限于Pack上盖、底护板、端侧板）、热管理系统产品（包含且不限于水冷板）、储能机柜、热成型及辊压成型技术等其他产品或者项目的合作,2022-12-09 16:00:26,002965.SZ,300750.SZ,eastmoney,合作
中天科技,天合光能,【分拆是把“双刃剑”，上市公司应与市场充分沟通】继中天科技因涉嫌“忽悠式分拆”引发质疑后，日前天合光能也因为分拆上市事项引发巨大争议，目前仍未平息,2022-12-08 07:32:37,600522.SH,688599,eastmoney,同行
赣锋锂业,江特电机,【“锂王”突爆雷！涉嫌内幕交易，或影响子公司分拆上市】12月7日晚间，赣锋锂业公告称，因内幕交易江特电机股票，公司收到中国证监会江西监管局出具的《行政处罚事先告知书》,2022-12-08 01:20:50,002460.SZ,002176.SZ,eastmoney,纠纷
以岭药业,恒瑞医药,主力资金净卖出前20大个股中，主力净卖出最多的是以岭药业，净卖出17.8亿元；排名第二的是恒瑞医药，净卖出6.5亿元,2022-12-08 19:07:18,002603.SZ,600276.SH,eastmoney,未知Unknown
中油资本,中国石油,【中油资本：拟3.23亿元购买银河基金12.5%股权】中油资本(000617)12月8日晚间公告，公司全资子公司中国石油集团资本有限责任公司拟与公司控股股东中石油集团签署《股权转让协议》，以3.23亿元购买中石油集团持有的银河基金管理有限公司12.5%的股权,2022-12-08 17:57:55,000617.SZ,601857,eastmoney,上级
宁波建工,中国建筑,【宁波建工：联合体中标11.66亿元轨道交通施工项目】宁波建工公告，控股子公司宁波市政工程建设集团有限公司与中国建筑第八工程局有限公司组成的联合体中标宁波市轨道交通7号线、8号线一期工程下应南车辆段TJSG01标段施工项目，中标价11.66亿元,2022-12-08 17:39:08,601789.SH,601668,eastmoney,合作
中信证券,长江证券,另一笔为平价成交，成交价为每股420.47元，成交金额0.29亿元，中信证券上海分公司卖出，长江证券杭州秋涛北路接盘,2022-12-08 16:53:34,600030.SH,000783.SZ,eastmoney,未知Unknown
新华制药,复星医药,截至发稿时，山东新华制药股份(00719.HK)涨超10%，复星医药(02196.HK)涨超7%，三生制药(01530.HK)涨超4%,2022-12-08 13:34:32,000756.SZ,600196.SH,eastmoney,同涨
新华制药,复星医药,港股医药股午后走高，山东新华制药股份(00719.HK)涨超10%，复星医药(02196.HK)涨超7%，三生制药(01530.HK)涨超4%,2022-12-08 13:28:21,000756.SZ,600196.SH,eastmoney,同涨
泰林生物,东方生物,【抗原检测板块异动，济民医疗涨停】抗原检测股盘中大幅拉升，济民医疗午后开盘秒板，毅昌科技、亚辉龙、泰林生物、优宁维、东方生物等纷纷冲高,2022-12-08 13:08:01,300813,688298,eastmoney,同涨
国泰君安,东方证券,其中包括国泰君安证券-证券行业数字人民币的创新应用、东方证券-数字人民币创新应用试点项目等,2022-12-08 12:00:23,601211.SH,600958.SH,eastmoney,同行
昭衍新药,泰格医药,【港股CXO概念股全线上涨，昭衍新药涨超5%】截至发稿，昭衍新药涨5.57%、维亚生物涨4.26%、泰格医药涨3.57%、方达控股涨3.03%,2022-12-07 10:06:12,603127.SH,300347.SZ,eastmoney,同涨
赣锋锂业,江特电机,【赣锋锂业：因内幕交易江特电机股票案，江西证监局拟对公司罚没442万元】赣锋锂业公告，公司及相关当事人因涉嫌内幕交易江西特种电机股份有限公司(江特电机)股票案，收到江西证监局行政处罚事先告知书,2022-12-07 19:09:59,002460.SZ,002176.SZ,eastmoney,纠纷
以岭药业,亿纬锂能,主力资金净买入前20大个股中，主力净买排名第一的是以岭药业，净买额5.7亿元；主力净买排名第二的是亿纬锂能，净买额超4亿元,2022-12-07 18:55:13,002603.SZ,300014.SZ,eastmoney,未知Unknown
吉贝尔,新华制药,【熊去氧胆酸突然“走红”，多家药企股价涨停】12月7日，吉贝尔、赛生药业、新华制药等诸多药企纷纷在投资者互动平台上回复熊去氧胆酸药品的相关情况,2022-12-07 18:51:55,688566,000756.SZ,eastmoney,同涨
华贸物流,和而泰,【华贸物流：与和而泰签订战略合作协议】华贸物流(603128)12月7日晚间公告，近日，公司与和而泰(002402)签订战略合作协议双方将在国际空海铁运输、跨境物流、仓储陆运等领域开展合作,2022-12-07 18:36:16,603128.SH,002402.SZ,eastmoney,合作
天山股份,冀东水泥,【天山股份：拟与冀东水泥共设合资公司】天山股份(000877)12月7日晚间公告，公司拟与冀东水泥(000401)共同投资设立辽宁金中水泥集团有限公司,2022-12-07 16:22:54,000877.SZ,000401.SZ,eastmoney,合作
天山股份,冀东水泥,合资公司注册资本18亿元，天山股份与冀东水泥以现金方式各自认缴出资9亿元，分别持有合资公司50%的股权,2022-12-07 16:22:54,000877.SZ,000401.SZ,eastmoney,合作
中国国航,东方航空,截至发稿时，中国国航(00753.HK)涨超12%，中国东方航空(00670.HK)涨超12%,2022-12-07 13:46:43,601111.SH,600115.SH,eastmoney,同涨
中国国航,东方航空,港股博彩、影视娱乐、餐饮、航空股进一步拉升，阿里影业、美高梅中国、中国国航、中国东方航空均涨超10%,2022-12-07 13:44:24,601111.SH,600115.SH,eastmoney,同涨
长城汽车,比亚迪,港股汽车股震荡拉升，零跑汽车涨超9%，吉利汽车涨超5%，长城汽车涨近5%，北京汽车、比亚迪股份涨超2%,2022-12-06 10:38:08,601633.SH,002594.SZ,eastmoney,同涨
